Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,28.81741166114807,,,,0.0
0/20,1/20,100,10000,31.344829559326172,3.8678127080202103,0.24679382797330618,6.7412401884794235,0.0
0/20,2/20,150,15000,61.72543144226074,23.993190752808005,4.27505606925115,660.6609128117561,0.0
0/20,3/20,200,20000,64.44846224784851,19.472268980927765,19.330329169984907,1223.2368234992027,0.0
0/20,4/20,250,25000,67.70005798339844,22.835767277982086,34.90111332666129,1695.7335859537125,0.0
0/20,5/20,300,30000,69.70985531806946,22.647770578041673,37.54218040034175,2132.874512195587,0.0
0/20,6/20,350,35000,69.70383787155151,27.156558509916067,43.5362288095057,2543.973740696907,0.0
0/20,7/20,400,40000,69.04087424278259,30.185275042429566,50.4282158203423,2929.9422574043274,0.0
0/20,8/20,450,45000,65.17577242851257,28.919181142933667,52.990346010774374,3294.598605155945,0.0
0/20,9/20,500,50000,67.24993824958801,27.846947611309588,56.09689350798726,3624.2059330940247,0.0
0/20,10/20,550,55000,68.01629638671875,27.653504534624517,56.89082889072597,3929.43679022789,0.0
0/20,11/20,600,60000,67.92295956611633,26.975110134109855,57.543995786458254,4246.550475597382,0.0
0/20,12/20,650,65000,68.54896712303162,27.44368434417993,56.35901905596256,4544.75457906723,0.0
0/20,13/20,700,70000,67.64048075675964,25.382900663651526,57.281853441148996,4807.994177341461,0.0
0/20,14/20,750,75000,63.68721055984497,28.399920839816332,54.893282448872924,5069.1148109436035,0.0
0/20,15/20,800,80000,63.043776512145996,27.8875327212736,54.36232118681073,5322.041823387146,0.0
0/20,16/20,850,85000,62.0009286403656,26.45906053110957,53.92028523236513,5565.390271663666,0.0
0/20,17/20,900,90000,63.45290541648865,27.764253856614232,54.92799538746476,5785.306707620621,0.0
0/20,18/20,950,95000,68.65343165397644,31.582978441379964,56.83941614627838,6008.06991481781,0.0
0/20,19/20,1000,100000,71.89668464660645,31.882854567840695,58.53978316113353,6191.306634902954,0.0
1/20,0/20,1050,105000,71.09208679199219,36.523430288769305,60.69641083292663,6442.382830142975,0.0
1/20,1/20,1100,110000,72.93219804763794,41.982371628284454,60.32862397097051,6609.59264755249,0.0
1/20,2/20,1150,115000,71.00751519203186,47.74418058805168,65.00162694975734,6755.46190738678,0.0
1/20,3/20,1200,120000,71.23641610145569,44.13606770616025,69.36975117400289,6854.1039164066315,0.0
1/20,4/20,1250,125000,71.9342668056488,46.81912710610777,68.86308837682009,6993.0014061927795,0.0
1/20,5/20,1300,130000,67.92848634719849,44.799657018855214,64.25203412398696,7075.347408771515,0.0
1/20,6/20,1350,135000,67.50571751594543,49.10906000621617,67.88047463074327,7294.775258541107,0.0
1/20,7/20,1400,140000,69.48478531837463,51.83127287402749,69.02782618999481,7450.128718852997,0.0
1/20,8/20,1450,145000,72.24318814277649,51.183108169585466,70.42528913915157,7606.299807548523,0.0
1/20,9/20,1500,150000,70.13609743118286,49.221286656334996,73.25626559183002,7687.106078147888,0.0
1/20,10/20,1550,155000,70.20378875732422,51.939581487327814,72.6520392857492,7895.634480476379,0.0
1/20,11/20,1600,160000,65.69825458526611,54.77017978578806,73.49879397824407,7961.504067897797,0.0
1/20,12/20,1650,165000,64.7118787765503,49.32788528688252,74.28725514188409,8054.488793373108,0.0
1/20,13/20,1700,170000,64.48459935188293,48.48623854666948,76.30550657957792,8103.956958770752,0.0
1/20,14/20,1750,175000,64.55293560028076,50.532069373875856,75.77271464467049,8252.48537826538,0.0
1/20,15/20,1800,180000,68.87208604812622,47.763245325535536,74.64759336411953,8335.529289245605,0.0
1/20,16/20,1850,185000,72.30343699455261,49.176328582689166,77.24479448795319,8444.588414669037,0.0
1/20,17/20,1900,190000,71.34807991981506,48.41666282340884,74.87250610813498,8504.772560119629,0.0
1/20,18/20,1950,195000,70.44744825363159,49.04215638898313,74.79882604628801,8617.71209526062,0.0
1/20,19/20,2000,200000,69.62337231636047,47.892016388475895,74.06318439915776,8672.490609645844,0.0
2/20,0/20,2050,205000,71.76251363754272,51.350409138947725,72.35167875140905,8798.381175994873,0.0
2/20,1/20,2100,210000,68.25954079627991,52.52804218232632,74.20238513499498,8827.795406341553,0.0
2/20,2/20,2150,215000,69.38665771484375,49.81977186910808,73.03121419250965,8903.975357532501,0.0
2/20,3/20,2200,220000,69.57520771026611,49.73008496686816,72.7931295670569,8940.65535068512,0.0
2/20,4/20,2250,225000,65.30017328262329,50.48174208775163,72.87558709084988,9016.602056503296,0.0
2/20,5/20,2300,230000,69.08846998214722,50.246535485610366,74.4940125271678,9113.160468578339,0.0
2/20,6/20,2350,235000,70.14956474304199,48.41182014159858,74.79455719515681,9159.237065792084,0.0
2/20,7/20,2400,240000,69.42013788223267,49.2855467684567,76.5904519893229,9169.623646736145,0.0
2/20,8/20,2450,245000,66.13848996162415,53.13063346315175,78.46937454119325,9213.163279533386,0.0
2/20,9/20,2500,250000,67.90774416923523,52.63108982890844,79.15035606175661,9305.94003200531,0.0
2/20,10/20,2550,255000,67.80651783943176,52.397752180695534,77.46972398459911,9280.99958562851,0.0
2/20,11/20,2600,260000,68.47395873069763,53.74706467986107,77.89759458228946,9364.063112258911,0.0
2/20,12/20,2650,265000,67.08479905128479,50.89863542281091,76.14344020932913,9345.496747970581,0.0
2/20,13/20,2700,270000,66.10910081863403,47.595322497189045,75.57231321930885,9376.780092716217,0.0
2/20,14/20,2750,275000,67.29209208488464,48.44717369787395,72.30641055852175,9518.472680568695,0.0
2/20,15/20,2800,280000,67.98082852363586,49.39810163900256,73.19784196838737,9541.842219352722,0.0
2/20,16/20,2850,285000,67.5733814239502,47.489021791145205,72.57713591307402,9541.206546783447,0.0
2/20,17/20,2900,290000,66.77162027359009,46.93264620564878,72.36016619950533,9651.872441291809,0.0
2/20,18/20,2950,295000,66.99215888977051,47.517065081745386,71.04628634825349,9578.050918102264,0.0
2/20,19/20,3000,300000,68.33573484420776,47.49258493818343,70.69456111639738,9665.306067466736,0.0
