Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,30.289514303207397,,,,0.0
0/20,1/20,100,10000,35.49037194252014,0.24788165371865034,7.024984043091536,3.2901586815714836,0.0
0/20,2/20,150,15000,63.9726083278656,4.802000101772137,685.8488334417343,22.666830302216113,0.0
0/20,3/20,200,20000,62.43231821060181,14.499349194811657,1214.0005660057068,16.67822535103187,0.0
0/20,4/20,250,25000,64.7124285697937,28.279485662467778,1651.4729115962982,19.10493589565158,0.0
0/20,5/20,300,30000,65.11473035812378,32.353438758291304,2076.915797472,17.650371841620654,0.0
0/20,6/20,350,35000,65.18269038200378,33.27081373613328,2449.945981144905,15.918192964978516,0.0
0/20,7/20,400,40000,63.08728766441345,38.15848422050476,2818.3364276885986,16.105914691463113,0.0
0/20,8/20,450,45000,63.7547345161438,38.62590476125479,3181.6261262893677,16.146747129503638,0.0
0/20,9/20,500,50000,63.570504665374756,37.041851710528135,3544.264673471451,15.50093757873401,0.0
0/20,10/20,550,55000,66.08356046676636,38.16762665659189,3855.535633087158,17.180300921667367,0.0
0/20,11/20,600,60000,66.35713267326355,37.875982858240604,4191.001370668411,16.572239848785102,0.0
0/20,12/20,650,65000,66.31579208374023,37.18955276533961,4511.055067539215,17.43713396647945,0.0
0/20,13/20,700,70000,63.59130907058716,36.0602031648159,4744.604741334915,17.30347696179524,0.0
0/20,14/20,750,75000,62.21698188781738,37.63807827979326,5009.246154785156,18.236153470352292,0.0
0/20,15/20,800,80000,60.957035779953,38.58104422129691,5303.223033666611,19.119575743097812,0.0
0/20,16/20,850,85000,62.1214497089386,38.52682264521718,5490.235587835312,19.024927719961852,0.0
0/20,17/20,900,90000,62.534690856933594,40.53835700638592,5751.156924009323,23.661897737532854,0.0
0/20,18/20,950,95000,68.3966052532196,43.163394033908844,6000.721530914307,21.57527211168781,0.0
0/20,19/20,1000,100000,72.30312514305115,43.245481790974736,6193.609529018402,23.076293828431517,0.0
1/20,0/20,1050,105000,71.71637177467346,43.93041321448982,6423.633686065674,26.683633165434003,0.0
1/20,1/20,1100,110000,70.93832039833069,46.34637197293341,6649.244997501373,26.11406704504043,0.0
1/20,2/20,1150,115000,71.46243405342102,49.318901021033525,6858.749542236328,26.816048207692802,0.0
1/20,3/20,1200,120000,69.79066848754883,50.8149537704885,6994.278532028198,26.305968472734094,0.0
1/20,4/20,1250,125000,69.67201089859009,50.16862915083766,7151.876860618591,28.039433646015823,0.0
1/20,5/20,1300,130000,69.67348265647888,51.616143429651856,7309.958049297333,30.817512376233935,0.0
1/20,6/20,1350,135000,67.20722508430481,52.17832403443754,7487.195887565613,30.44849924184382,0.0
1/20,7/20,1400,140000,68.91361880302429,53.478614527732134,7645.372310161591,29.191154712811112,0.0
1/20,8/20,1450,145000,69.29783701896667,51.14269834570587,7731.381561279297,28.319078139029443,0.0
1/20,9/20,1500,150000,70.99727129936218,52.74754462018609,7873.611956119537,29.517766217701137,0.0
1/20,10/20,1550,155000,69.73965954780579,52.59660030901432,8011.248601913452,30.302190616726875,0.0
1/20,11/20,1600,160000,64.98316502571106,53.876626797020435,8121.122447490692,31.105452944524586,0.0
1/20,12/20,1650,165000,64.79478549957275,55.17759653553367,8247.87532711029,29.353414047509432,0.0
1/20,13/20,1700,170000,66.09373807907104,56.489496594294906,8296.754153728485,28.329924264922738,0.0
1/20,14/20,1750,175000,65.79787349700928,57.61448766849935,8398.177385807037,30.56047451775521,0.0
1/20,15/20,1800,180000,67.92708659172058,56.89052512310445,8549.06101512909,28.849058891646564,0.0
1/20,16/20,1850,185000,71.15158462524414,57.24816804751754,8602.110206127167,33.76413751207292,0.0
1/20,17/20,1900,190000,72.79621195793152,56.046523777768016,8656.250722408295,28.49604893475771,0.0
1/20,18/20,1950,195000,71.8912079334259,57.76513847336173,8828.695475578308,29.645707386545837,0.0
1/20,19/20,2000,200000,73.03081440925598,58.34187606163323,8882.697711467743,31.36655588913709,0.0
2/20,0/20,2050,205000,72.72828960418701,57.77995406091213,8954.699890136719,31.46969634387642,0.0
2/20,1/20,2100,210000,68.94138669967651,58.88627125322819,9024.08140039444,30.06294939108193,0.0
2/20,2/20,2150,215000,70.00901651382446,57.35389865934849,9120.172833919525,31.425094795413315,0.0
