Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,34.22723627090454,,,,0.0
0/20,1/20,100,10000,150.44624876976013,5.733394123613834,3.7888207510113716,0.24960418045520782,0.0
0/20,2/20,150,15000,182.05332207679749,560.2269566059113,22.29795100586489,3.064335097442381,0.0
0/20,3/20,200,20000,179.5202922821045,1058.3186465501785,26.606883600354195,15.587001902749762,0.0
0/20,4/20,250,25000,179.83807969093323,1446.9700276851654,42.02574223186821,38.65266821719706,0.0
0/20,5/20,300,30000,178.98156905174255,1772.5162502527237,60.41855589672923,41.87864635139704,0.0
0/20,6/20,350,35000,178.78339433670044,2086.07290661335,81.9528740029782,43.15558276325464,0.0
0/20,7/20,400,40000,183.62371969223022,2330.5134929418564,106.35389539971948,55.44241734594107,0.0
0/20,8/20,450,45000,182.7779896259308,2635.4017630815506,133.70524244010448,58.8176512606442,0.0
0/20,9/20,500,50000,179.249085187912,2862.9937422275543,163.54302479326725,66.39649688079953,0.0
0/20,10/20,550,55000,180.4349844455719,3075.7175250053406,186.4059021398425,67.07692147046328,0.0
0/20,11/20,600,60000,180.3668248653412,3218.2553844451904,224.03068521618843,68.4662924669683,0.0
0/20,12/20,650,65000,180.55336260795593,3365.4959857463837,265.8404616937041,75.45757349953055,0.0
0/20,13/20,700,70000,178.69923520088196,3524.0742149353027,312.820433229208,77.98697908595204,0.0
0/20,14/20,750,75000,179.71706819534302,3650.167979478836,341.35982155799866,81.73885694146156,0.0
0/20,15/20,800,80000,183.81522703170776,3713.4701297283173,382.98066406697035,87.93569776415825,0.0
0/20,16/20,850,85000,186.9533166885376,3695.7703845500946,399.65625477582216,94.19430179148912,0.0
0/20,17/20,900,90000,181.03571677207947,3677.8731520175934,398.80418325960636,98.46029210835695,0.0
0/20,18/20,950,95000,186.28513431549072,3640.729083299637,414.9169983416796,102.522401496768,0.0
0/20,19/20,1000,100000,184.30595922470093,3572.5115921497345,422.37402279675007,105.86591824144125,0.0
1/20,0/20,1050,105000,186.9531855583191,3527.202946662903,405.0515960752964,105.87483088672161,0.0
1/20,1/20,1100,110000,188.65052723884583,3521.353834629059,402.52533596754074,106.13090543448925,0.0
1/20,2/20,1150,115000,180.57996797561646,3566.2146003246307,402.83080208301544,108.85333015024662,0.0
1/20,3/20,1200,120000,178.3352074623108,3553.4472558498383,400.9765349775553,112.5304015725851,0.0
1/20,4/20,1250,125000,176.89726877212524,3509.4950165748596,436.26925779879093,116.83356011658907,0.0
1/20,5/20,1300,130000,178.83194088935852,3500.6503314971924,462.81796799600124,113.69764082878828,0.0
1/20,6/20,1350,135000,183.14590501785278,3460.720047235489,443.247044429183,115.18358835577965,0.0
1/20,7/20,1400,140000,180.89008355140686,3432.655694961548,475.99796959757805,113.04876179993153,0.0
1/20,8/20,1450,145000,182.07793426513672,3397.6724116802216,484.54870769381523,111.79230492562056,0.0
1/20,9/20,1500,150000,182.89442539215088,3412.8766465187073,489.59838320314884,113.77306097745895,0.0
1/20,10/20,1550,155000,183.27572464942932,3438.655327320099,493.45296297967434,109.8748437538743,0.0
1/20,11/20,1600,160000,183.47333216667175,3374.4374449253082,491.48683385550976,111.02440091967583,0.0
1/20,12/20,1650,165000,182.60422372817993,3360.3213081359863,479.61136624217033,111.95883453637362,0.0
1/20,13/20,1700,170000,183.88522338867188,3375.531926393509,494.293472006917,112.87880657613277,0.0
1/20,14/20,1750,175000,182.23496675491333,3389.8715376853943,540.2263598591089,114.2001875936985,0.0
1/20,15/20,1800,180000,183.25571942329407,3346.4496269226074,554.9979275614023,113.07898115366697,0.0
1/20,16/20,1850,185000,180.9734287261963,3352.259344816208,532.7451117634773,110.99099446833134,0.0
1/20,17/20,1900,190000,181.4656093120575,3371.8558778762817,527.5122082680464,110.19843802601099,0.0
1/20,18/20,1950,195000,181.84610986709595,3370.643545627594,559.734776198864,112.6693477705121,0.0
1/20,19/20,2000,200000,181.4499249458313,3341.240015745163,546.2535822838545,114.76304426789284,0.0
2/20,0/20,2050,205000,181.59667897224426,3309.322014570236,559.7240845263004,113.16372498124838,0.0
2/20,1/20,2100,210000,179.40623545646667,3311.1290805339813,561.0412845164537,112.17280084639788,0.0
2/20,2/20,2150,215000,183.17407083511353,3244.410945892334,574.0986840575933,111.3800779953599,0.0
2/20,3/20,2200,220000,182.9816188812256,3218.3362181186676,538.8919103890657,113.87617912888527,0.0
2/20,4/20,2250,225000,181.01923251152039,3166.623669862747,549.5964724868536,114.49989450722933,0.0
2/20,5/20,2300,230000,183.63599348068237,3138.233878016472,562.4326919019222,116.64638747274876,0.0
2/20,6/20,2350,235000,189.21013164520264,3138.2567678689957,515.2082725763321,118.37568217515945,0.0
2/20,7/20,2400,240000,191.6581792831421,3118.712653160095,554.6151124686003,115.48019038885832,0.0
2/20,8/20,2450,245000,187.75022339820862,3104.9244517087936,549.73355910182,114.02902382612228,0.0
2/20,9/20,2500,250000,187.62778449058533,3118.1754888296127,538.1927570849657,115.71074865013361,0.0
2/20,10/20,2550,255000,187.23699259757996,3097.2391065359116,547.4760074615479,119.9207438454032,0.0
2/20,11/20,2600,260000,187.74978351593018,3046.900736093521,535.2472741752863,119.42454633116722,0.0
2/20,12/20,2650,265000,189.12940979003906,3051.3654000759125,570.1426766961813,120.49694495648146,0.0
2/20,13/20,2700,270000,187.4474859237671,3014.9179347753525,543.573091134429,120.47562190145254,0.0
2/20,14/20,2750,275000,189.3233654499054,2999.229570865631,542.0173276513815,119.83920573443174,0.0
2/20,15/20,2800,280000,192.07059502601624,3017.4269465208054,581.3678702563047,118.7826966792345,0.0
2/20,16/20,2850,285000,189.93239164352417,2973.7193681001663,567.7065448462963,121.01709195971489,0.0
2/20,17/20,2900,290000,186.84897375106812,2957.9587225914,547.1166925132275,122.27551051974297,0.0
2/20,18/20,2950,295000,187.7161741256714,2924.534970641136,537.2316217720509,124.03898820281029,0.0
2/20,19/20,3000,300000,185.60310125350952,2905.067195415497,533.2649446129799,124.16667411476374,0.0
3/20,0/20,3050,305000,186.97587656974792,2854.4368109703064,515.1327622681856,125.89506957679987,0.0
3/20,1/20,3100,310000,184.56317734718323,2808.4176856279373,538.5997449457645,125.9997988641262,0.0
3/20,2/20,3150,315000,188.3337516784668,2822.8932480812073,536.9887848347425,125.91382799297571,0.0
3/20,3/20,3200,320000,196.40900254249573,2822.235079884529,538.7074203938246,131.04385238140821,0.0
3/20,4/20,3250,325000,198.5160608291626,2842.846635222435,572.1265458613634,132.94693857431412,0.0
3/20,5/20,3300,330000,200.8125205039978,2884.023491024971,557.4887528121471,134.53692556917667,0.0
3/20,6/20,3350,335000,200.6356384754181,2886.357961654663,561.4470773041248,136.28897066414356,0.0
3/20,7/20,3400,340000,199.38617300987244,2922.2252143621445,618.8616280555725,137.25257794559002,0.0
3/20,8/20,3450,345000,196.84813714027405,2966.6289662122726,632.6539058536291,139.91258971393108,0.0
3/20,9/20,3500,350000,198.56058192253113,2963.2528454065323,583.9125073701143,143.2264085188508,0.0
3/20,10/20,3550,355000,199.34103798866272,2950.0845062732697,593.5352913886309,142.535820864141,0.0
3/20,11/20,3600,360000,199.6070840358734,2940.0123826265335,585.7852512747049,140.75085048377514,0.0
3/20,12/20,3650,365000,197.0699725151062,2937.2942579984665,582.2471840977669,142.84823598712683,0.0
3/20,13/20,3700,370000,201.4797604084015,2971.9994785785675,581.0723059773445,145.866834923625,0.0
3/20,14/20,3750,375000,197.13559293746948,2970.7295635938644,574.4873921871185,144.01290442049503,0.02
3/20,15/20,3800,380000,198.87036156654358,2987.9889063835144,574.1719075888395,146.20011780411005,0.05
3/20,16/20,3850,385000,74.0570113658905,3031.4403945207596,579.8645340204239,146.34163711220026,0.03
3/20,17/20,3900,390000,68.9390721321106,3079.655683040619,545.2795097231865,145.33942355960608,0.05
3/20,18/20,3950,395000,69.15201497077942,3133.6335484981537,572.6750781983137,146.7962908372283,0.03
3/20,19/20,4000,400000,72.33577394485474,3188.6135301589966,575.971687272191,145.31395375728607,0.16
