Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,42.265103578567505,,,,0.0
0/20,1/20,100,10000,42.88171362876892,0.20551256695762277,6.5022768676280975,4.787530854344368,0.0
0/20,2/20,150,15000,89.69112920761108,4.133008635835722,624.1821973621845,27.465209719724953,0.0
0/20,3/20,200,20000,90.26603174209595,17.660122130298987,1154.3624361157417,23.42956866044551,0.0
0/20,4/20,250,25000,90.48321557044983,29.307876241393387,1538.7644509077072,38.05212512239814,0.0
0/20,5/20,300,30000,88.08862781524658,36.331056870520115,1861.2099611759186,50.012734518386424,0.0
0/20,6/20,350,35000,87.54118132591248,42.2932632509619,2129.4778826236725,66.29479420557618,0.0
0/20,7/20,400,40000,89.20065259933472,47.614327698946,2360.8234174251556,83.05208045057952,0.0
0/20,8/20,450,45000,89.21921157836914,58.160594433546066,2604.4736478328705,108.29553358256817,0.0
0/20,9/20,500,50000,91.75054788589478,66.87238570675254,2853.67429792881,135.9071297198534,0.0
0/20,10/20,550,55000,90.46594095230103,68.9718178473413,3086.193260908127,164.90697617083788,0.0
0/20,11/20,600,60000,90.55685138702393,72.73855101689696,3324.9830152988434,196.52302936837077,0.0
0/20,12/20,650,65000,95.58571672439575,78.04264872893691,3553.877831697464,238.14966975152493,0.0
0/20,13/20,700,70000,91.94869780540466,82.19532223790884,3685.3397262096405,260.38700314611197,0.0
0/20,14/20,750,75000,90.15261721611023,88.1327887699008,3803.511471271515,280.2115654870868,0.0
0/20,15/20,800,80000,98.24869203567505,87.58908192440867,3942.5379219055176,307.9073203727603,0.0
0/20,16/20,850,85000,96.10507321357727,89.54605847224593,4024.361242055893,359.481508910656,0.0
0/20,17/20,900,90000,98.28248572349548,94.25456282496452,4102.3685557842255,395.0536742731929,0.0
0/20,18/20,950,95000,98.4721245765686,94.504069712013,4083.8363440036774,405.01775608956814,0.0
0/20,19/20,1000,100000,100.754234790802,96.55014128237963,4101.82289147377,407.206192240119,0.0
1/20,0/20,1050,105000,99.30835604667664,99.93697576224804,4117.5210592746735,427.93650652468204,0.0
1/20,1/20,1100,110000,99.79879879951477,104.8861064761877,4044.8220448493958,443.21249094605446,0.0
1/20,2/20,1150,115000,101.5122287273407,107.42587309330702,4050.8873596191406,470.15325228869915,0.0
1/20,3/20,1200,120000,100.41122150421143,106.46441816538572,4070.0469539165497,474.8818306475878,0.0
1/20,4/20,1250,125000,99.42001414299011,109.07592490315437,4181.393529415131,502.0057455599308,0.0
1/20,5/20,1300,130000,99.86443591117859,108.96769974380732,4119.517719507217,501.7578141838312,0.0
1/20,6/20,1350,135000,97.6984932422638,111.17376972734928,4143.3137373924255,519.6349068135023,0.0
1/20,7/20,1400,140000,100.65280532836914,106.72000951319933,4139.94646692276,499.9595403075218,0.0
1/20,8/20,1450,145000,95.92917108535767,113.07060430943966,4142.125437259674,505.7339259684086,0.0
1/20,9/20,1500,150000,97.37095785140991,116.98971467465162,4146.057566165924,528.8090732842684,0.0
1/20,10/20,1550,155000,95.16536021232605,125.10984203964472,4129.265318870544,528.2063552737236,0.0
1/20,11/20,1600,160000,98.29622912406921,120.04799913614988,4096.638171195984,521.9126794040203,0.0
1/20,12/20,1650,165000,99.28401136398315,117.61839540302753,4075.2021272182465,528.8449018597603,0.0
1/20,13/20,1700,170000,97.82600426673889,118.33642948418856,4071.357224702835,546.7884126454592,0.0
1/20,14/20,1750,175000,92.22205066680908,123.8033432662487,4071.9237513542175,550.0403562188148,0.0
1/20,15/20,1800,180000,94.53372383117676,126.02538166195154,3982.082925796509,523.9292114824057,0.0
1/20,16/20,1850,185000,94.62264370918274,123.85664474964142,3964.8949675559998,533.8520412892103,0.0
1/20,17/20,1900,190000,96.38944482803345,125.46158441901207,3925.796583890915,541.8104468137026,0.0
1/20,18/20,1950,195000,95.24449062347412,122.57467283308506,3891.8334341049194,543.6856376081705,0.0
1/20,19/20,2000,200000,89.68032598495483,121.96225333958864,3907.6055834293365,508.3644565194845,0.0
2/20,0/20,2050,205000,91.93526864051819,124.22156691551208,3858.5165088176727,544.8356341570616,0.0
2/20,1/20,2100,210000,92.269371509552,125.03213123232126,3829.0999052524567,550.1967357248068,0.0
2/20,2/20,2150,215000,88.11897277832031,122.38770211488008,3788.552023410797,518.0452685505152,0.0
2/20,3/20,2200,220000,88.70535564422607,121.42132379114628,3726.684442281723,514.8948443830013,0.0
2/20,4/20,2250,225000,91.10375595092773,118.17379969358444,3720.5336384773254,502.44353510439396,0.0
2/20,5/20,2300,230000,91.72560739517212,120.4906961992383,3716.8227870464325,539.8066644519567,0.0
2/20,6/20,2350,235000,88.7089490890503,123.21190241724253,3682.9665133953094,524.0656626671553,0.0
2/20,7/20,2400,240000,89.8008942604065,122.83028676360846,3651.804136991501,518.5050849765539,0.0
2/20,8/20,2450,245000,97.6908187866211,125.18259824067354,3590.4284534454346,500.207490041852,0.0
2/20,9/20,2500,250000,87.31668210029602,125.48851536214352,3591.902158975601,539.6727238148451,0.0
2/20,10/20,2550,255000,91.8797254562378,123.6845221593976,3548.407119989395,502.30282256007195,0.0
2/20,11/20,2600,260000,93.59680938720703,123.24432513862848,3544.360529899597,488.62203615903854,0.0
2/20,12/20,2650,265000,90.50898385047913,122.77709816396236,3413.2061038017273,483.07372222840786,0.0
2/20,13/20,2700,270000,93.27615523338318,122.81951581686735,3426.0369172096252,468.6396647542715,0.0
2/20,14/20,2750,275000,93.51569032669067,123.85279679298401,3393.6855902671814,445.19153290987015,0.0
2/20,15/20,2800,280000,89.82334280014038,122.2463545948267,3339.9751677513123,471.9862520545721,0.0
2/20,16/20,2850,285000,92.75774312019348,122.9470102712512,3329.786558866501,474.8477400690317,0.0
2/20,17/20,2900,290000,92.45234942436218,121.20416781306267,3272.7744245529175,418.4851657897234,0.0
2/20,18/20,2950,295000,90.28475069999695,119.81428112089634,3305.3765790462494,443.7057394236326,0.0
2/20,19/20,3000,300000,92.61697363853455,123.48393413424492,3274.9259638786316,448.9103955030441,0.0
3/20,0/20,3050,305000,91.09367823600769,124.00084447860718,3268.470344543457,445.94907385110855,0.0
3/20,1/20,3100,310000,92.3038444519043,119.27913623303175,3231.1717987060547,458.7153834402561,0.0
3/20,2/20,3150,315000,90.90466451644897,120.69442840665579,3222.91081571579,456.76488322019577,0.0
3/20,3/20,3200,320000,92.38538956642151,118.24818552285433,3182.05047750473,432.05583676695824,0.0
3/20,4/20,3250,325000,93.61079120635986,116.61320784687996,3170.600888609886,456.253738284111,0.0
3/20,5/20,3300,330000,95.94038891792297,112.76746755838394,3178.332156062126,454.1282189041376,0.0
3/20,6/20,3350,335000,94.60559439659119,116.84837417304516,3122.877822160721,469.64483323693275,0.0
3/20,7/20,3400,340000,90.14028239250183,116.63129882514477,3090.341120004654,460.95716481655836,0.0
3/20,8/20,3450,345000,96.10676908493042,115.71715839207172,3061.1976791620255,411.6419429779053,0.0
3/20,9/20,3500,350000,94.35891366004944,119.05994061380625,3028.1176923513412,440.3040942251682,0.01
3/20,10/20,3550,355000,93.06303286552429,116.79050327092409,2980.726157784462,425.977134950459,0.0
3/20,11/20,3600,360000,88.25937271118164,118.39588685333729,2936.798712491989,415.04954589903355,0.0
3/20,12/20,3650,365000,88.79406905174255,118.745755687356,2960.5059673786163,407.03601855039597,0.0
3/20,13/20,3700,370000,91.23941373825073,117.06830721348524,2927.977508187294,431.0589377582073,0.0
3/20,14/20,3750,375000,89.06056022644043,115.00902204960585,2906.989141225815,414.9098429530859,0.0
3/20,15/20,3800,380000,89.97884631156921,113.46302473545074,2899.9464995861053,391.39772862941027,0.0
3/20,16/20,3850,385000,88.67391061782837,116.39750589430332,2906.219397544861,440.1994830071926,0.0
3/20,17/20,3900,390000,90.98107576370239,114.13250124454498,2857.869180202484,418.29271480441093,0.0
3/20,18/20,3950,395000,87.93485641479492,111.52457498759031,2846.6933366060257,470.3522317185998,0.0
