Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,41.40178871154785,,,,0.0
0/20,1/20,100,10000,47.629021406173706,4.100162863731384,0.21559635689482093,9.086127743124962,0.0
0/20,2/20,150,15000,89.79084968566895,32.27999597415328,4.480933369835839,740.8443556129932,0.0
0/20,3/20,200,20000,90.35218667984009,27.635835302993655,14.916695932857692,1241.5931665301323,0.0
0/20,4/20,250,25000,88.26508450508118,43.865165825001895,36.67327009141445,1643.2591284513474,0.0
0/20,5/20,300,30000,90.05668425559998,63.02896724268794,47.68895158730447,1985.2549197673798,0.0
0/20,6/20,350,35000,89.47976899147034,87.30725579336286,52.69312306679785,2356.751708507538,0.0
0/20,7/20,400,40000,88.41728186607361,119.08903865143657,61.2528203651309,2662.6078964471817,0.0
0/20,8/20,450,45000,88.5135395526886,145.41867461800575,67.63050389662385,2909.0559734106064,0.0
0/20,9/20,500,50000,88.8779776096344,189.93294437229633,73.08155148103833,3185.1630284786224,0.0
0/20,10/20,550,55000,87.78965139389038,225.68572102487087,79.77926589176059,3329.826602935791,0.0
0/20,11/20,600,60000,85.59334087371826,250.8331298828125,87.60771956294775,3455.6591358184814,0.0
0/20,12/20,650,65000,87.64798426628113,309.40506644546986,91.5705555677414,3599.568384170532,0.0
0/20,13/20,700,70000,87.7333824634552,337.8165529668331,97.13656875491142,3755.203839302063,0.0
0/20,14/20,750,75000,88.38677334785461,395.0413889437914,103.96425335854292,3799.592038154602,0.0
0/20,15/20,800,80000,89.53779864311218,395.93451431393623,109.54366867989302,3821.1401283740997,0.0
0/20,16/20,850,85000,94.5638484954834,410.3900995105505,117.3859857544303,3850.2842507362366,0.0
0/20,17/20,900,90000,92.40456366539001,418.52220200002193,118.61172839999199,3831.9780147075653,0.0
0/20,18/20,950,95000,92.44933915138245,424.1092656850815,119.44815212488174,3803.372470855713,0.0
0/20,19/20,1000,100000,93.85677361488342,429.1772920191288,119.69424785673618,3799.3054382801056,0.0
1/20,0/20,1050,105000,93.52788591384888,424.30504266917706,123.76344427466393,3708.0444717407227,0.0
1/20,1/20,1100,110000,94.25820636749268,414.3664277791977,125.56187867373228,3654.5410284996033,0.0
1/20,2/20,1150,115000,94.24539256095886,424.8892887234688,128.31731742620468,3577.7552950382233,0.0
1/20,3/20,1200,120000,95.9208824634552,423.90224346518517,126.66421053558588,3496.8515615463257,0.0
1/20,4/20,1250,125000,96.80788779258728,436.0422709286213,122.6278093457222,3503.9621543884277,0.0
1/20,5/20,1300,130000,94.88953804969788,437.8891274780035,123.8908544331789,3473.8017570972443,0.0
1/20,6/20,1350,135000,94.2388551235199,452.6740745604038,122.66304957866669,3454.9503622055054,0.0
1/20,7/20,1400,140000,93.65010094642639,460.65412898361683,124.82351914048195,3430.491729259491,0.0
1/20,8/20,1450,145000,94.15694212913513,453.63724695146084,123.51476229727268,3443.583014726639,0.0
1/20,9/20,1500,150000,94.27975726127625,442.33793111145496,122.94723955541849,3431.646028280258,0.0
1/20,10/20,1550,155000,96.89105725288391,451.53426261246204,123.3515894934535,3443.9314856529236,0.0
1/20,11/20,1600,160000,95.49473524093628,479.32052694261074,126.51344222575426,3430.1399648189545,0.0
1/20,12/20,1650,165000,93.4408791065216,459.35410027205944,130.23841454088688,3372.3406722545624,0.01
1/20,13/20,1700,170000,93.02292203903198,463.2027965039015,130.98278836905956,3326.947299718857,0.0
1/20,14/20,1750,175000,94.17833399772644,476.1588667035103,129.06635361164808,3310.118761062622,0.0
1/20,15/20,1800,180000,91.95057392120361,456.5360414981842,128.66824723035097,3320.9967641830444,0.0
1/20,16/20,1850,185000,89.28429293632507,469.6334244608879,124.89657820761204,3350.2533111572266,0.0
1/20,17/20,1900,190000,91.57872366905212,493.52378231287,124.36717903614044,3333.231188058853,0.0
1/20,18/20,1950,195000,91.44156885147095,454.0533453822136,127.47134119272232,3321.80043053627,0.0
1/20,19/20,2000,200000,89.96486067771912,483.3389167189598,126.54954466223717,3297.1758600473404,0.0
2/20,0/20,2050,205000,92.22797322273254,513.256454154849,127.13333361595869,3286.3374361991882,0.0
2/20,1/20,2100,210000,92.38747048377991,453.23070177435875,127.52821256965399,3225.1337280273438,0.0
2/20,2/20,2150,215000,89.42167282104492,476.8939374089241,127.75580195337534,3241.78503882885,0.0
2/20,3/20,2200,220000,87.03684616088867,458.65757371485233,124.5455537289381,3188.683517217636,0.0
2/20,4/20,2250,225000,91.02789688110352,465.9781274795532,123.38629302382469,3168.0717319250107,0.0
2/20,5/20,2300,230000,87.42167830467224,437.0427417010069,122.9856390953064,3088.6828651428223,0.0
2/20,6/20,2350,235000,90.15932273864746,450.09535348415375,123.33701860159636,3103.2684750556946,0.0
2/20,7/20,2400,240000,89.6565592288971,454.17606940865517,122.24106016755104,3123.0903899669647,0.0
2/20,8/20,2450,245000,91.51201820373535,452.72317142784595,123.01517388224602,3100.567331671715,0.0
2/20,9/20,2500,250000,91.14001703262329,424.52584406733513,121.15215737372637,3125.016023159027,0.0
2/20,10/20,2550,255000,90.68975949287415,444.58361449837685,120.03776452690363,3111.729313135147,0.0
2/20,11/20,2600,260000,92.96667170524597,453.13343411684036,119.42629573494196,3079.7759244441986,0.0
2/20,12/20,2650,265000,93.62857294082642,453.84559443593025,119.8019683137536,3012.195976495743,0.0
2/20,13/20,2700,270000,93.0636568069458,463.5886483937502,119.1498501971364,3042.4098941087723,0.0
2/20,14/20,2750,275000,91.90660119056702,458.6649584323168,116.51039380580187,3071.2857201099396,0.0
2/20,15/20,2800,280000,95.33719325065613,450.812022536993,116.40651082992554,3069.4426548480988,0.0
2/20,16/20,2850,285000,91.50350713729858,463.73304994404316,115.4118997529149,3038.447899222374,0.0
2/20,17/20,2900,290000,95.03220462799072,465.11125230789185,117.71176901459694,3062.0882217884064,0.0
2/20,18/20,2950,295000,93.07103490829468,439.0372754186392,118.91626680642366,3040.3415944576263,0.0
2/20,19/20,3000,300000,93.09039759635925,440.6499403119087,120.34794514626265,2992.0657889842987,0.0
3/20,0/20,3050,305000,92.35216498374939,440.20628640055656,117.65167160332203,2919.7419576644897,0.0
3/20,1/20,3100,310000,94.91005682945251,413.2120334357023,114.31338308751583,2919.2951381206512,0.0
3/20,2/20,3150,315000,94.42795610427856,440.2555496394634,115.12518954277039,2907.6551398038864,0.0
3/20,3/20,3200,320000,94.68548393249512,437.73936216533184,116.8050734847784,2913.7987973690033,0.0
3/20,4/20,3250,325000,94.09351658821106,431.4260133728385,115.99814108014107,2887.9670485258102,0.0
3/20,5/20,3300,330000,91.43471956253052,415.5756484270096,113.57163594663143,2884.703523516655,0.0
3/20,6/20,3350,335000,95.52382707595825,397.3718730509281,112.53675808012486,2893.4011632204056,0.0
3/20,7/20,3400,340000,90.93303799629211,399.33478377759457,113.92268731445074,2850.8541991710663,0.0
3/20,8/20,3450,345000,94.24141836166382,388.3877010419965,113.17036773264408,2834.843333363533,0.0
3/20,9/20,3500,350000,97.67972779273987,392.01368606090546,114.34132999181747,2825.9740455150604,0.0
3/20,10/20,3550,355000,95.4084644317627,380.9878184348345,111.3809647783637,2789.6198514699936,0.0
3/20,11/20,3600,360000,95.2931432723999,357.11213633418083,110.36494194716215,2799.2292668819427,0.0
3/20,12/20,3650,365000,96.25149393081665,388.9719560742378,110.22394100576639,2790.7883833646774,0.0
3/20,13/20,3700,370000,96.64999270439148,403.0883564502001,111.7255170494318,2763.4713926315308,0.0
3/20,14/20,3750,375000,96.96663475036621,413.1109690964222,111.20639072358608,2726.809734225273,0.0
3/20,15/20,3800,380000,93.54903221130371,401.9535900056362,111.05049885809422,2742.836362719536,0.0
3/20,16/20,3850,385000,94.73961329460144,400.3374274894595,111.4483512416482,2717.29891204834,0.0
3/20,17/20,3900,390000,94.51201891899109,391.80945367366076,110.39368511736393,2726.5178521871567,0.0
3/20,18/20,3950,395000,94.94893312454224,410.8055696114898,109.54365409910679,2750.1327291727066,0.0
3/20,19/20,4000,400000,99.20706391334534,392.29295025765896,110.55810385942459,2719.5867738723755,0.0
4/20,0/20,4050,405000,97.95179796218872,375.31498751044273,108.93750973790884,2701.747039914131,0.0
4/20,1/20,4100,410000,95.74194264411926,425.82779236137867,107.68708996474743,2715.0425547361374,0.0
4/20,2/20,4150,415000,93.87887525558472,413.15667659044266,109.07846756279469,2718.600414633751,0.0
4/20,3/20,4200,420000,95.19322347640991,415.6055265367031,107.39774367958307,2699.201078891754,0.0
4/20,4/20,4250,425000,97.62051939964294,405.39603612571955,106.55969854444265,2681.236451625824,0.0
4/20,5/20,4300,430000,92.52007913589478,430.4100463837385,108.50787968933582,2692.606856584549,0.0
4/20,6/20,4350,435000,93.12497425079346,379.7000361457467,108.54930970072746,2650.6165137290955,0.0
4/20,7/20,4400,440000,95.7706196308136,408.6570470035076,108.79909372329712,2658.5951447486877,0.0
4/20,8/20,4450,445000,94.86381316184998,408.5352804660797,106.55747782438993,2618.4085297584534,0.0
4/20,9/20,4500,450000,95.82578587532043,405.5743610113859,105.05985843390226,2594.1399730443954,0.0
4/20,10/20,4550,455000,94.08821177482605,386.1812191233039,107.60011633485556,2577.2449213266373,0.0
4/20,11/20,4600,460000,93.47698926925659,387.1207122206688,106.87406318634748,2538.999940752983,0.0
4/20,12/20,4650,465000,96.66949462890625,393.6533019095659,108.46046691387892,2555.749102115631,0.0
4/20,13/20,4700,470000,96.91695737838745,360.60577381402254,107.04937386512756,2544.9125410318375,0.0
4/20,14/20,4750,475000,97.18292164802551,373.3560599386692,106.07130815833807,2529.457660794258,0.0
4/20,15/20,4800,480000,96.8603196144104,357.5882437750697,107.3273143619299,2520.7558547258377,0.0
4/20,16/20,4850,485000,96.69118666648865,383.2346684783697,107.90818917006254,2489.6388640403748,0.0
4/20,17/20,4900,490000,96.49255418777466,364.1030072718859,105.81557007133961,2501.7739332914352,0.0
4/20,18/20,4950,495000,93.21027874946594,359.4059219956398,103.95203523337841,2480.701745390892,0.0
4/20,19/20,5000,500000,93.21764707565308,346.09744184464216,102.33190742135048,2493.057171344757,0.0
5/20,0/20,5050,505000,93.12277555465698,373.5010104328394,101.7316369637847,2487.1172872781754,0.0
5/20,1/20,5100,510000,92.87601256370544,353.37070842832327,99.33375652134418,2477.662428379059,0.0
5/20,2/20,5150,515000,95.69453954696655,359.29545357078314,99.93731886893511,2441.1633220911026,0.0
5/20,3/20,5200,520000,95.50154042243958,338.40689662098885,100.32699044048786,2427.723811030388,0.0
5/20,4/20,5250,525000,92.92214584350586,337.4338933378458,97.79454243555665,2463.1855828762054,0.0
5/20,5/20,5300,530000,92.74341750144958,363.25393633544445,101.30588369816542,2492.40187561512,0.0
5/20,6/20,5350,535000,91.58479380607605,353.9647383764386,99.72238852083683,2433.0850207805634,0.0
5/20,7/20,5400,540000,93.23819756507874,372.188222900033,102.73934292793274,2480.6350380182266,0.0
5/20,8/20,5450,545000,94.29677629470825,360.3608063682914,99.354775339365,2456.663830757141,0.0
5/20,9/20,5500,550000,91.82066440582275,373.6799379810691,100.58550262451172,2497.955573797226,0.0
5/20,10/20,5550,555000,92.97527527809143,345.47557746618986,100.19302985072136,2484.928617119789,0.0
5/20,11/20,5600,560000,90.75929284095764,354.4257423132658,101.20982632786036,2500.431774377823,0.0
5/20,12/20,5650,565000,93.28192853927612,356.82784152030945,100.36252741515636,2553.2225056886673,0.0
5/20,13/20,5700,570000,93.89926052093506,349.52630265057087,98.44967254251242,2572.5639905929565,0.0
5/20,14/20,5750,575000,92.89162945747375,368.73431024700403,98.56752052158117,2583.521453142166,0.0
5/20,15/20,5800,580000,92.59540057182312,390.90240555256605,101.15165423601866,2562.7134598493576,0.0
5/20,16/20,5850,585000,89.39638423919678,367.95407070964575,102.17917267233133,2529.4409090280533,0.0
5/20,17/20,5900,590000,93.10199689865112,370.09519750624895,101.65669332444668,2533.8201298713684,0.0
5/20,18/20,5950,595000,93.21650648117065,385.09050353616476,100.01666643470526,2545.9023352861404,0.0
5/20,19/20,6000,600000,94.47422337532043,347.47603350132704,101.14836294203997,2548.805636525154,0.0
6/20,0/20,6050,605000,94.10839128494263,376.9822409078479,101.32964390516281,2523.6037920713425,0.0
6/20,1/20,6100,610000,93.14938950538635,350.13988757133484,100.03357048332691,2562.755330681801,0.0
6/20,2/20,6150,615000,93.48323225975037,391.19603258371353,101.25331847369671,2557.1774909496307,0.0
6/20,3/20,6200,620000,92.15870928764343,359.96686774492264,98.86094804853201,2545.0684678554535,0.0
6/20,4/20,6250,625000,91.93170285224915,384.2148131877184,99.96332961320877,2499.025118947029,0.0
