Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,39.294193744659424,,,,0.0
0/20,1/20,100,10000,46.663121461868286,10.375479102134705,0.24839366553351283,3.812311515212059,0.0
0/20,2/20,150,15000,89.78255105018616,774.733417570591,3.7991453401045874,25.5709292399697,0.0
0/20,3/20,200,20000,91.08650994300842,1254.3328061699867,11.300596218323335,29.227229617536068,0.0
0/20,4/20,250,25000,91.49107456207275,1661.3477931022644,26.602174418512732,51.75240739248693,0.0
0/20,5/20,300,30000,87.69973063468933,2098.9632239341736,31.267327113077044,73.02216747403145,0.0
0/20,6/20,350,35000,91.63391065597534,2467.760267019272,39.0011536385864,92.55607916973531,0.0
0/20,7/20,400,40000,86.71443581581116,2762.283214688301,45.359223460778594,122.00606174767017,0.0
0/20,8/20,450,45000,90.97484397888184,3020.0330288410187,54.32753084972501,147.06587095558643,0.0
0/20,9/20,500,50000,87.7890956401825,3235.451763153076,63.58675941452384,175.26150382310152,0.0
0/20,10/20,550,55000,89.044930934906,3435.3764555454254,72.3710435219109,233.98848652094603,0.0
0/20,11/20,600,60000,92.22980952262878,3586.5435452461243,81.16322920098901,261.745319403708,0.0
0/20,12/20,650,65000,88.25548434257507,3679.936301469803,85.31195046752691,297.04721984267235,0.0
0/20,13/20,700,70000,88.92213678359985,3726.331333398819,85.96307113021612,328.46815756708384,0.0
0/20,14/20,750,75000,89.58690619468689,3780.705216884613,93.2670221477747,368.9833515137434,0.0
0/20,15/20,800,80000,92.41599321365356,3733.030871152878,101.1640918776393,374.9487645328045,0.0
0/20,16/20,850,85000,92.54975438117981,3707.5089678764343,104.78582978248596,375.0126882195473,0.0
0/20,17/20,900,90000,91.72633957862854,3726.18439745903,105.58303195983171,408.1609983742237,0.0
0/20,18/20,950,95000,93.07593846321106,3743.694683074951,101.611272983253,395.38602106273174,0.0
0/20,19/20,1000,100000,93.85936713218689,3798.321902513504,107.08913672715425,420.51619823276997,0.0
1/20,0/20,1050,105000,93.81619596481323,3775.3200755119324,108.22274650633335,403.0888810455799,0.0
1/20,1/20,1100,110000,93.94655299186707,3741.748279809952,110.3804504647851,420.2428640425205,0.0
1/20,2/20,1150,115000,94.98586058616638,3730.6970047950745,112.32325508445501,413.21261352300644,0.0
1/20,3/20,1200,120000,94.7152750492096,3652.0607709884644,114.22262266278267,440.91574616730213,0.0
1/20,4/20,1250,125000,95.35380792617798,3622.3460080623627,115.43638157844543,445.11902226507664,0.0
1/20,5/20,1300,130000,95.79537153244019,3580.18895983696,113.83858079463243,437.4032389074564,0.0
1/20,6/20,1350,135000,94.2134759426117,3540.3556962013245,114.90941093116999,423.09342651069164,0.0
1/20,7/20,1400,140000,93.26667857170105,3512.6827857494354,115.27450770884752,450.28800624608994,0.0
1/20,8/20,1450,145000,99.77431178092957,3474.030345439911,117.28064519912004,449.3096897751093,0.0
1/20,9/20,1500,150000,98.66927814483643,3418.3474926948547,110.88433529436588,449.7136070281267,0.0
1/20,10/20,1550,155000,99.40554332733154,3443.126240491867,107.09914394468069,449.9290709942579,0.0
1/20,11/20,1600,160000,98.60147523880005,3475.5110557079315,107.4066134095192,445.6740358918905,0.0
1/20,12/20,1650,165000,99.68108320236206,3380.793540239334,114.99584275484085,446.77291163802147,0.0
1/20,13/20,1700,170000,99.02814888954163,3350.513331413269,117.71757642179728,435.94718538224697,0.0
1/20,14/20,1750,175000,102.03023076057434,3342.4907569885254,111.98704156279564,433.6259630024433,0.0
1/20,15/20,1800,180000,95.95350170135498,3276.84797000885,115.2923313677311,438.226160377264,0.0
1/20,16/20,1850,185000,94.88892030715942,3289.178965330124,113.88315773010254,434.3897420912981,0.0
1/20,17/20,1900,190000,94.21974921226501,3242.9703998565674,116.16627403348684,437.1642646044493,0.0
1/20,18/20,1950,195000,96.23627591133118,3253.5400223731995,117.34719885885715,422.2036065608263,0.0
1/20,19/20,2000,200000,95.53875160217285,3226.34828042984,116.16470721364021,430.43281531333923,0.0
2/20,0/20,2050,205000,93.14983534812927,3231.78937792778,118.8201859742403,429.64030653238297,0.0
2/20,1/20,2100,210000,90.24203944206238,3169.4955484867096,115.30237947404385,426.1065335571766,0.0
2/20,2/20,2150,215000,92.56330704689026,3126.1947162151337,114.99430228024721,408.1104134619236,0.0
2/20,3/20,2200,220000,90.12504959106445,3133.7327991724014,116.06110811978579,406.33513040840626,0.0
2/20,4/20,2250,225000,94.72017240524292,3129.7714035511017,115.06766561418772,443.0796552300453,0.0
2/20,5/20,2300,230000,90.74893522262573,3157.997516274452,114.8170574605465,408.26882249861956,0.0
2/20,6/20,2350,235000,96.10533785820007,3131.4839626550674,114.32016137987375,433.96252024173737,0.0
2/20,7/20,2400,240000,94.9621319770813,3100.708432674408,113.27542347460985,433.17074301093817,0.0
2/20,8/20,2450,245000,95.2562985420227,3072.7008032798767,110.24765368551016,454.2802032530308,0.0
2/20,9/20,2500,250000,96.20146250724792,3114.959915995598,111.81380958110094,449.4152225703001,0.0
2/20,10/20,2550,255000,95.8239426612854,3057.7539407014847,113.66434724628925,464.9091989248991,0.0
