Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,43.47609233856201,,,,0.0
0/20,1/20,100,10000,54.54867935180664,0.25696642603725195,4.5307150930166245,7.3844960778951645,0.0
0/20,2/20,150,15000,90.22664499282837,2.7863940538372844,30.01127220224589,671.5944514274597,0.0
0/20,3/20,200,20000,91.13647985458374,19.700202332343906,29.121047663502395,1259.0552436113358,0.0
0/20,4/20,250,25000,88.4506561756134,40.850530210882425,42.945162682794034,1618.2944906949997,0.0
0/20,5/20,300,30000,91.02237319946289,43.426899675279856,56.384629506617785,1916.9254387617111,0.0
0/20,6/20,350,35000,87.80679512023926,47.87760499864817,81.44344441778958,2193.346192598343,0.0
0/20,7/20,400,40000,88.38478350639343,61.385218884795904,100.14931825362146,2523.757992863655,0.0
0/20,8/20,450,45000,90.26789832115173,70.01139868050814,136.06667758524418,2792.83209335804,0.0
0/20,9/20,500,50000,90.53608965873718,78.83905850723386,163.21752085909247,3056.883684873581,0.0
0/20,10/20,550,55000,88.16337943077087,82.19912489876151,207.08855418115854,3279.3740739822388,0.0
0/20,11/20,600,60000,87.16727805137634,85.20542753487825,239.82903712242842,3392.8847703933716,0.0
0/20,12/20,650,65000,89.62027359008789,92.0015513934195,296.0322457626462,3578.7093863487244,0.0
0/20,13/20,700,70000,91.74340724945068,99.64633996784687,327.5238596200943,3650.392650604248,0.0
0/20,14/20,750,75000,90.363529920578,105.53377160429955,348.8719434142113,3723.2003514766693,0.0
0/20,15/20,800,80000,92.99079608917236,109.52232206612825,368.04178185760975,3703.333834886551,0.0
0/20,16/20,850,85000,90.95418524742126,111.8536559343338,375.02465695142746,3692.078519821167,0.0
0/20,17/20,900,90000,90.77735638618469,113.76725945621729,377.2076841443777,3686.093942642212,0.0
0/20,18/20,950,95000,87.31312441825867,116.73430496454239,386.81004272401333,3681.4237582683563,0.0
0/20,19/20,1000,100000,90.14176964759827,117.8288403749466,382.25293892621994,3640.938248872757,0.0
1/20,0/20,1050,105000,89.96035313606262,116.81745183467865,383.65080469846725,3626.060012102127,0.0
1/20,1/20,1100,110000,90.92333173751831,117.89430972188711,373.4867610633373,3560.5659120082855,0.0
1/20,2/20,1150,115000,87.58965492248535,117.94312421232462,383.8370694667101,3522.404659509659,0.0
1/20,3/20,1200,120000,88.71551656723022,122.78903766721487,386.16500048339367,3495.7761721611023,0.0
1/20,4/20,1250,125000,90.18459367752075,122.41134706139565,385.15083592385054,3492.8240115642548,0.0
1/20,5/20,1300,130000,91.75466203689575,124.27320752292871,397.31271094083786,3459.349634408951,0.0
1/20,6/20,1350,135000,91.98846936225891,123.20012975484133,388.5375440865755,3437.8608961105347,0.0
1/20,7/20,1400,140000,89.56783938407898,121.68315969407558,404.4459851384163,3437.364377260208,0.0
1/20,8/20,1450,145000,92.31782126426697,119.45293659716845,388.45859338343143,3409.7204592227936,0.0
1/20,9/20,1500,150000,92.5440731048584,119.01560422033072,375.5499689280987,3376.804302215576,0.0
1/20,10/20,1550,155000,88.94154930114746,121.79191223531961,383.6066233217716,3361.0883224010468,0.0
1/20,11/20,1600,160000,91.81027173995972,119.97058457881212,381.6873214095831,3311.422492980957,0.0
1/20,12/20,1650,165000,88.71725368499756,117.4763930439949,378.52363404631615,3313.3703956604004,0.0
1/20,13/20,1700,170000,91.7216649055481,118.47999474406242,386.00758750736713,3294.1733963489532,0.0
1/20,14/20,1750,175000,89.74446177482605,119.86730324476957,387.5598243176937,3329.004734516144,0.0
1/20,15/20,1800,180000,89.89673376083374,119.2749250754714,410.80495692789555,3326.4960238933563,0.0
1/20,16/20,1850,185000,93.16406989097595,115.9959664568305,402.4159064143896,3260.768554210663,0.0
1/20,17/20,1900,190000,91.32704782485962,119.17091092467308,381.6410332620144,3240.1045122146606,0.0
1/20,18/20,1950,195000,91.70844769477844,118.72556690871716,409.1289418488741,3232.947741508484,0.0
1/20,19/20,2000,200000,93.07642102241516,117.99324391037226,407.17709673941135,3185.5170347690582,0.0
2/20,0/20,2050,205000,92.52399492263794,117.94930300861597,395.96123437583447,3149.899610519409,0.0
2/20,1/20,2100,210000,90.83979511260986,117.11856408417225,392.04469376802444,3165.229071378708,0.0
2/20,2/20,2150,215000,91.7861635684967,117.15620522201061,401.11725498735905,3152.8887910842896,0.0
2/20,3/20,2200,220000,94.18091464042664,118.13553540408611,374.84609976410866,3134.939366340637,0.0
2/20,4/20,2250,225000,90.03119349479675,117.99260544031858,396.49706180393696,3090.302702665329,0.0
2/20,5/20,2300,230000,93.3766622543335,119.2797352746129,421.93696692585945,3096.8946657180786,0.0
2/20,6/20,2350,235000,91.58601069450378,118.43076268583536,373.69613391906023,3087.670271396637,0.0
2/20,7/20,2400,240000,93.90614008903503,116.86281484365463,385.4882138520479,3089.752119064331,0.0
2/20,8/20,2450,245000,91.05213475227356,117.76218997687101,391.31601136922836,3056.0489543676376,0.0
2/20,9/20,2500,250000,91.69575619697571,117.7993379458785,381.8134626224637,3052.3489167690277,0.0
2/20,10/20,2550,255000,88.76921701431274,114.4376118183136,387.2776368036866,3079.3964126110077,0.0
2/20,11/20,2600,260000,90.26946234703064,112.64392563700676,379.0010516345501,3055.552370905876,0.0
2/20,12/20,2650,265000,90.74976420402527,113.06873344630003,373.5755294561386,3063.743814945221,0.0
2/20,13/20,2700,270000,90.29073166847229,113.57313331216574,383.3895121961832,3046.145001411438,0.0
2/20,14/20,2750,275000,91.57100224494934,111.51473686099052,372.9419307485223,3015.657408118248,0.0
2/20,15/20,2800,280000,91.43645977973938,114.69159684330225,381.8286034539342,3002.1436458826065,0.0
2/20,16/20,2850,285000,91.74410915374756,110.78678821772337,381.45230989158154,3020.4932466745377,0.0
2/20,17/20,2900,290000,92.12401962280273,111.649085059762,386.36401108652353,2988.361627459526,0.0
2/20,18/20,2950,295000,94.38273906707764,113.65610638260841,401.8222819119692,2993.8574542999268,0.0
2/20,19/20,3000,300000,92.53474521636963,110.5612060725689,370.6423370838165,2997.455296397209,0.0
3/20,0/20,3050,305000,88.86352586746216,111.65628543496132,383.6583925932646,2990.7867629528046,0.0
3/20,1/20,3100,310000,93.76101875305176,111.59581698477268,417.22862370312214,2969.324224472046,0.0
3/20,2/20,3150,315000,93.57638049125671,111.14323411136866,388.98863895237446,2958.4817667007446,0.0
3/20,3/20,3200,320000,89.20516633987427,110.77002312242985,388.39121975004673,2951.269551873207,0.0
3/20,4/20,3250,325000,92.38443756103516,109.1523769274354,372.11055943369865,2936.940063595772,0.0
3/20,5/20,3300,330000,92.89804339408875,106.71658769249916,359.59179788827896,2951.1302877664566,0.0
3/20,6/20,3350,335000,90.88097643852234,111.51517714560032,381.7115524560213,2941.1476798057556,0.0
3/20,7/20,3400,340000,90.73916602134705,110.24851855635643,408.59670762717724,2952.5383113622665,0.0
3/20,8/20,3450,345000,92.02905058860779,111.17646604031324,391.4702695608139,2936.0282106399536,0.0
3/20,9/20,3500,350000,90.67899632453918,109.2834691554308,382.51064126193523,2964.168152809143,0.0
3/20,10/20,3550,355000,91.50361609458923,108.96404148638248,369.58645951002836,2930.0065697431564,0.0
3/20,11/20,3600,360000,95.45658040046692,107.56229179352522,373.33090687543154,2939.8144739866257,0.0
3/20,12/20,3650,365000,91.28956198692322,107.67325519025326,389.31865115463734,2940.8265719413757,0.0
3/20,13/20,3700,370000,96.83403515815735,108.52928368002176,377.1063517332077,2887.372759461403,0.0
3/20,14/20,3750,375000,96.88963341712952,110.35920027643442,356.0143988728523,2875.6249450445175,0.0
3/20,15/20,3800,380000,93.80917096138,108.55639381706715,338.96730440855026,2858.013726711273,0.0
3/20,16/20,3850,385000,92.13467621803284,106.01044595986605,337.46144737303257,2857.293347120285,0.0
3/20,17/20,3900,390000,92.2924644947052,109.87611835449934,360.7879326194525,2855.3192616701126,0.0
3/20,18/20,3950,395000,92.72121143341064,109.5872310847044,364.58546717464924,2839.024433016777,0.0
3/20,19/20,4000,400000,94.94949531555176,106.40493617206812,346.7491225376725,2817.313924074173,0.0
4/20,0/20,4050,405000,89.60350561141968,105.79208278656006,378.48510044813156,2867.3945393562317,0.0
4/20,1/20,4100,410000,93.07127976417542,106.97805497795343,380.87492564320564,2854.9933705329895,0.0
4/20,2/20,4150,415000,92.31069898605347,108.10165823996067,390.340862236917,2853.2145408391953,0.0
4/20,3/20,4200,420000,90.98934626579285,106.3141887485981,408.3296421393752,2826.0664373636246,0.0
4/20,4/20,4250,425000,90.80832386016846,106.28331636637449,385.5588073581457,2852.6979801654816,0.0
4/20,5/20,4300,430000,90.36956429481506,103.88934700936079,365.3950480148196,2846.270449757576,0.0
4/20,6/20,4350,435000,93.44304656982422,106.89244663715363,347.9369369521737,2864.8935648202896,0.0
4/20,7/20,4400,440000,93.07224869728088,105.51932288706303,356.20503801107407,2833.154291152954,0.0
4/20,8/20,4450,445000,90.67261385917664,104.34114479273558,353.9860990792513,2824.2169835567474,0.0
4/20,9/20,4500,450000,91.04161500930786,105.05600690096617,403.00697031617165,2819.446627020836,0.0
4/20,10/20,4550,455000,90.7554714679718,104.32620529085398,339.05246225744486,2804.68588578701,0.0
4/20,11/20,4600,460000,91.85244560241699,104.98517754673958,356.6879345178604,2790.6033449172974,0.0
4/20,12/20,4650,465000,91.0196282863617,103.87478182464838,361.99627777189016,2827.0053461790085,0.0
4/20,13/20,4700,470000,89.9970633983612,103.77282427251339,356.9737460464239,2810.1556664705276,0.0
4/20,14/20,4750,475000,91.61790585517883,102.50303387641907,377.13193802535534,2798.711441755295,0.0
4/20,15/20,4800,480000,90.75977563858032,104.26900717616081,368.53270560503006,2790.127540707588,0.0
4/20,16/20,4850,485000,91.37808322906494,103.94959086179733,392.12964168190956,2804.512437582016,0.0
4/20,17/20,4900,490000,91.44841504096985,104.3576829880476,364.01912347972393,2758.5656967163086,0.0
4/20,18/20,4950,495000,92.18000626564026,104.03898548334837,383.69696988910437,2785.1606578826904,0.0
4/20,19/20,5000,500000,92.1515862941742,102.30944187194109,371.90956426411867,2757.9091218709946,0.01
5/20,0/20,5050,505000,95.15900468826294,101.31009971350431,373.91930855065584,2770.252277493477,0.0
5/20,1/20,5100,510000,95.09637260437012,100.52811893820763,404.0099370852113,2770.6538484096527,0.0
5/20,2/20,5150,515000,95.02882862091064,102.38606371730566,368.78491454571486,2778.1831345558167,0.0
5/20,3/20,5200,520000,91.87014770507812,100.54857589304447,406.89447263628244,2757.965171456337,0.0
5/20,4/20,5250,525000,90.2391517162323,98.66147018969059,394.4522307962179,2764.8318568468094,0.0
5/20,5/20,5300,530000,90.11064338684082,101.58995493501425,370.6246003732085,2763.6796069145203,0.0
5/20,6/20,5350,535000,93.45517587661743,101.86368180066347,360.3453148752451,2755.7258574962616,0.0
5/20,7/20,5400,540000,92.69378399848938,101.61319061368704,358.44273924827576,2715.3545483350754,0.0
5/20,8/20,5450,545000,89.91646671295166,100.26307843625546,340.37464416772127,2674.6183747053146,0.01
5/20,9/20,5500,550000,92.96739029884338,99.52968548983335,380.0376149713993,2678.1996060609818,0.0
5/20,10/20,5550,555000,93.10717439651489,101.58980622887611,354.7052670419216,2665.0525559186935,0.0
5/20,11/20,5600,560000,91.91176199913025,100.82374894618988,340.95341274887323,2642.4820256233215,0.0
5/20,12/20,5650,565000,91.0852530002594,99.51531353592873,336.36631844192743,2652.272150874138,0.0
5/20,13/20,5700,570000,95.57307815551758,97.5379623696208,370.3064504340291,2627.927920460701,0.02
5/20,14/20,5750,575000,90.22964906692505,97.66543085873127,330.37043380737305,2647.000112891197,0.01
5/20,15/20,5800,580000,91.90899085998535,96.89736621826887,356.06338545680046,2634.0153530836105,0.0
5/20,16/20,5850,585000,89.92064619064331,98.03069201111794,340.67695534974337,2645.4310817718506,0.0
5/20,17/20,5900,590000,91.78254413604736,96.81795568019152,332.71252162754536,2635.1320736408234,0.0
5/20,18/20,5950,595000,87.46477818489075,97.52022011578083,350.8261528983712,2613.402363538742,0.0
5/20,19/20,6000,600000,92.91171360015869,98.8610458150506,353.8615003079176,2601.4219534397125,0.0
6/20,0/20,6050,605000,89.39041471481323,98.69414015859365,345.4328551515937,2607.7562466859818,0.0
6/20,1/20,6100,610000,90.13899827003479,99.84410681575537,378.8989817649126,2594.6698541641235,0.0
6/20,2/20,6150,615000,92.76677703857422,98.53607637435198,367.59205047786236,2597.919187426567,0.0
6/20,3/20,6200,620000,87.04425525665283,100.17613787949085,368.9242596104741,2593.962624192238,0.0
6/20,4/20,6250,625000,92.1184811592102,99.50972779840231,389.9671713337302,2593.7815833091736,0.0
6/20,5/20,6300,630000,90.53984642028809,97.87395619601011,384.860226765275,2624.3438556194305,0.0
6/20,6/20,6350,635000,90.51682901382446,98.67808880656958,356.3166920095682,2587.968494653702,0.0
6/20,7/20,6400,640000,87.37730836868286,101.7192956507206,355.4799493998289,2544.6255571842194,0.0
6/20,8/20,6450,645000,92.14460635185242,103.79154469072819,383.5850288942456,2508.4073297977448,0.0
6/20,9/20,6500,650000,95.55182671546936,104.38208331167698,404.0422762334347,2444.7149171829224,0.0
6/20,10/20,6550,655000,92.84108805656433,103.36457169800997,411.2274783998728,2441.9932433366776,0.0
6/20,11/20,6600,660000,94.88768887519836,102.17395378649235,380.757246799767,2388.3439306020737,0.0
6/20,12/20,6650,665000,95.15437531471252,102.8587685674429,348.0415681004524,2329.5544929504395,0.0
6/20,13/20,6700,670000,96.70099139213562,98.63690444082022,345.79006496816874,2314.0617691278458,0.0
6/20,14/20,6750,675000,95.20037269592285,95.7778025008738,327.8809067904949,2337.2472219467163,0.0
6/20,15/20,6800,680000,95.62689566612244,96.49698376655579,358.2013689279556,2338.747912287712,0.0
6/20,16/20,6850,685000,93.97711205482483,96.7393139898777,354.44333129376173,2363.8520114421844,0.0
6/20,17/20,6900,690000,95.71803545951843,96.84864311665297,329.4200167953968,2359.3691787719727,0.0
6/20,18/20,6950,695000,95.46379709243774,93.80946407467127,362.8752469047904,2392.6787996292114,0.0
6/20,19/20,7000,700000,93.90254855155945,93.76950823515654,322.6363348811865,2373.604714989662,0.0
7/20,0/20,7050,705000,53630.96440696716,95.76500104367733,393.03867254406214,2409.4209043979645,0.0
7/20,1/20,7100,710000,92.58898687362671,94.48811888694763,347.84141747653484,2450.50249004364,0.0
7/20,2/20,7150,715000,93.31403517723083,96.492587082088,324.8822284564376,2429.9983003139496,0.0
7/20,3/20,7200,720000,93.41803574562073,96.37376226857305,322.0836906135082,2446.703514933586,0.0
7/20,4/20,7250,725000,93.20009183883667,95.04725041240454,344.8458610549569,2452.2496985197067,0.0
7/20,5/20,7300,730000,38681.403641462326,96.18207134306431,347.3717458024621,2474.279559135437,0.0
7/20,6/20,7350,735000,93.72065591812134,95.44719323515892,355.76406775414944,2489.6330429315567,0.0
7/20,7/20,7400,740000,94.56012535095215,95.35024955123663,369.81362307071686,2479.7627267837524,0.0
7/20,8/20,7450,745000,92.12180209159851,93.41748953610659,328.1297879964113,2493.2487288713455,0.0
