Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,38.863563776016235,,,,0.0
0/20,1/20,100,10000,39.447911500930786,11.341347813606262,3.5962922647595406,0.3039477337151766,0.0
0/20,2/20,150,15000,82.09275507926941,790.994129627943,20.296838879585266,5.274800114799291,0.0
0/20,3/20,200,20000,80.35920858383179,1267.8222671151161,16.39189063711092,14.235177696449682,0.0
0/20,4/20,250,25000,83.29054474830627,1694.3155448436737,20.4257199508138,24.62866863515228,0.0
0/20,5/20,300,30000,83.1708300113678,2113.5849635601044,22.82800123654306,33.55844785831869,0.0
0/20,6/20,350,35000,82.49512887001038,2489.795569419861,23.090965648181736,36.331208320334554,0.0
0/20,7/20,400,40000,81.4785487651825,2832.2633883953094,26.384482100605965,39.80853841640055,0.0
0/20,8/20,450,45000,83.06978631019592,3192.627425670624,26.798474811017513,41.89644796028733,0.0
0/20,9/20,500,50000,82.73809123039246,3513.3357629776,29.523371112532914,44.90228435769677,0.0
0/20,10/20,550,55000,81.69591426849365,3843.042692899704,28.94237587042153,47.61507360264659,0.0
0/20,11/20,600,60000,83.5885546207428,4095.0228295326233,31.621371052227914,46.20354086533189,0.0
0/20,12/20,650,65000,80.95812249183655,4395.126482248306,30.47211100254208,46.749721720814705,0.0
0/20,13/20,700,70000,84.87231707572937,4712.041072845459,38.4178715609014,46.69007979519665,0.0
0/20,14/20,750,75000,84.0209150314331,4984.937104701996,34.03274919651449,47.884796062484384,0.0
0/20,15/20,800,80000,85.50763750076294,5237.6334018707275,33.41709629073739,49.94568422809243,0.0
0/20,16/20,850,85000,84.15876603126526,5439.58466219902,34.18610469158739,47.909203404560685,0.0
0/20,17/20,900,90000,85.1908028125763,5614.118926525116,32.82377764210105,47.33522784523666,0.0
0/20,18/20,950,95000,84.12413001060486,5857.433144807816,33.13485828880221,47.03818120807409,0.0
0/20,19/20,1000,100000,82.22041535377502,6101.169871091843,34.23665255960077,47.06499705091119,0.0
1/20,0/20,1050,105000,84.90848159790039,6240.635301113129,36.41533562913537,46.95632176473737,0.0
1/20,1/20,1100,110000,85.4373607635498,6457.049877166748,36.2759169684723,46.31712347827852,0.0
1/20,2/20,1150,115000,84.2244484424591,6618.9223346710205,36.626891440711915,49.45422972366214,0.0
1/20,3/20,1200,120000,83.8346004486084,6791.639684677124,42.58481067791581,50.32935582101345,0.0
1/20,4/20,1250,125000,88.55853915214539,6876.774193525314,54.068512570112944,49.73086632788181,0.0
1/20,5/20,1300,130000,87.30751347541809,7051.915467262268,44.29926194623113,48.89934313111007,0.0
1/20,6/20,1350,135000,86.81026268005371,7241.984826564789,42.8925358094275,49.40813662856817,0.0
1/20,7/20,1400,140000,85.32313275337219,7336.462021350861,44.01199333369732,50.542875695973635,0.0
1/20,8/20,1450,145000,86.80738639831543,7480.319994926453,45.46539815701544,51.345469327643514,0.0
1/20,9/20,1500,150000,84.78547501564026,7637.609453678131,49.86250013485551,51.01870828308165,0.0
1/20,10/20,1550,155000,87.10826778411865,7757.817661762238,43.858403738588095,53.522819463163614,0.0
1/20,11/20,1600,160000,86.10334634780884,7827.266550064087,45.328616769984365,52.57623322866857,0.0
1/20,12/20,1650,165000,87.49434733390808,7959.505712509155,44.924824284389615,55.041713051497936,0.0
1/20,13/20,1700,170000,86.8287889957428,8141.48144865036,49.628933968022466,56.63736539334059,0.0
1/20,14/20,1750,175000,84.26612734794617,8188.0644273757935,48.69850950688124,55.745996221899986,0.0
1/20,15/20,1800,180000,83.93574357032776,8289.553656578064,47.17987168766558,57.670629877597094,0.0
1/20,16/20,1850,185000,85.56667947769165,8365.886953353882,49.37783644348383,56.22966216132045,0.0
1/20,17/20,1900,190000,84.2312524318695,8464.368738174438,48.17073796130717,57.5446029342711,0.0
1/20,18/20,1950,195000,83.35371112823486,8572.874382972717,49.13604740612209,56.98115600273013,0.0
1/20,19/20,2000,200000,84.26594948768616,8595.102373600006,48.73552219942212,56.36102298088372,0.0
2/20,0/20,2050,205000,83.03559160232544,8694.97781085968,46.94025784637779,56.585291154682636,0.0
2/20,1/20,2100,210000,82.13117241859436,8767.89702796936,45.4751236718148,55.03886931762099,0.0
2/20,2/20,2150,215000,85.70507287979126,8834.94657611847,43.024200500920415,56.2694411277771,0.0
2/20,3/20,2200,220000,83.46131086349487,8875.80562210083,44.728571401908994,56.444428289309144,0.0
2/20,4/20,2250,225000,83.26799821853638,8966.946550369263,44.342419009655714,55.122098952531815,0.0
2/20,5/20,2300,230000,83.3250641822815,9040.408017635345,43.275491579435766,55.69482993707061,0.0
2/20,6/20,2350,235000,82.58199048042297,9065.77392244339,43.484947592020035,55.421962190419436,0.0
2/20,7/20,2400,240000,82.84146881103516,9147.063039779663,41.33579307794571,57.11186816543341,0.0
2/20,8/20,2450,245000,83.36813926696777,9140.08241033554,41.093425365164876,55.639181431382895,0.0
2/20,9/20,2500,250000,85.2265465259552,9252.696657657623,41.18552230857313,54.82115983590484,0.0
2/20,10/20,2550,255000,83.9644341468811,9289.380045413971,40.511490046978,54.98626712523401,0.0
2/20,11/20,2600,260000,82.70704436302185,9313.698774814606,38.70452353730798,56.0779177043587,0.0
2/20,12/20,2650,265000,83.78377294540405,9391.07051563263,40.28894978482276,55.02222700975835,0.0
2/20,13/20,2700,270000,84.99574637413025,9443.06424665451,40.160524749197066,55.04362419992685,0.0
2/20,14/20,2750,275000,83.49737191200256,9501.029866695404,40.737625390291214,57.106830075383186,0.0
2/20,15/20,2800,280000,83.8123881816864,9484.725967884064,40.295588083565235,55.68952862173319,0.0
2/20,16/20,2850,285000,83.53654837608337,9512.522860050201,40.06668100878596,57.1560232155025,0.0
2/20,17/20,2900,290000,82.25073170661926,9554.927185058594,37.69475501962006,55.805135956034064,0.0
2/20,18/20,2950,295000,83.30151343345642,9558.244405269623,38.48100930452347,55.4317684546113,0.0
2/20,19/20,3000,300000,80.9684989452362,9651.776539325714,40.26265432219952,55.649031795561314,0.0
3/20,0/20,3050,305000,81.9136369228363,9699.59065914154,41.42101256735623,55.4896284788847,0.0
3/20,1/20,3100,310000,83.44512677192688,9720.29815530777,41.24832257255912,54.61129277572036,0.0
3/20,2/20,3150,315000,87.10489106178284,9745.854737758636,41.1034317612648,55.627787090837955,0.0
3/20,3/20,3200,320000,82.30189990997314,9826.829514980316,40.01629257015884,55.271913290023804,0.0
3/20,4/20,3250,325000,84.73358941078186,9852.779197692871,39.661100388504565,55.380169592797756,0.0
3/20,5/20,3300,330000,83.79872822761536,9805.0308675766,39.226350815966725,55.470958828926086,0.0
3/20,6/20,3350,335000,83.13556098937988,9761.145443439484,39.33758872374892,55.375045420601964,0.0
3/20,7/20,3400,340000,86.85400056838989,9850.687101364136,37.602215317077935,54.361802285537124,0.0
3/20,8/20,3450,345000,87.04264688491821,9924.923769950867,38.01573809236288,55.2675164937973,0.0
3/20,9/20,3500,350000,88.69174313545227,9875.464015960693,38.23905518837273,55.60512056387961,0.0
3/20,10/20,3550,355000,84.55071520805359,9993.312528133392,39.22287118434906,55.44656552746892,0.0
3/20,11/20,3600,360000,84.72410655021667,9952.020156383514,36.98377655912191,54.92429178766906,0.0
3/20,12/20,3650,365000,84.96911287307739,9987.574569702148,38.44961289409548,54.873154543340206,0.0
3/20,13/20,3700,370000,85.47108197212219,9962.097695827484,37.27495722938329,54.467488983646035,0.0
3/20,14/20,3750,375000,88.34825825691223,9995.735295772552,35.976025502197444,54.58166018873453,0.0
3/20,15/20,3800,380000,84.64241456985474,10036.528086185455,35.13594408240169,54.82922428287566,0.0
