Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,41.005372285842896,,,,0.0
0/20,1/20,100,10000,41.367162466049194,3.924547776579857,0.21393761364743114,6.711186122149229,0.0
0/20,2/20,150,15000,86.21702575683594,30.83288688212633,4.8487415534909815,662.022636026144,0.0
0/20,3/20,200,20000,83.09986615180969,23.202209587674588,20.68874061340466,1208.231613278389,0.0
0/20,4/20,250,25000,85.60773968696594,30.279830227606,36.17245131544769,1657.0001285076141,0.0
0/20,5/20,300,30000,81.18647909164429,30.496954346075654,39.9735605251044,2099.562906742096,0.0
0/20,6/20,350,35000,81.47384691238403,32.16239203698933,45.272231014445424,2470.6939125061035,0.0
0/20,7/20,400,40000,83.03133487701416,33.61024418566376,46.85489738546312,2862.6478317976,0.0
0/20,8/20,450,45000,83.44027709960938,33.02381454221904,47.751260824501514,3206.8075013160706,0.0
0/20,9/20,500,50000,81.67031025886536,31.094761901535094,46.26397673226893,3552.7271461486816,0.0
0/20,10/20,550,55000,84.51122093200684,33.93388187047094,45.33240521885455,3846.3921852111816,0.0
0/20,11/20,600,60000,85.48727869987488,36.23916529584676,45.845560206100345,4134.573160171509,0.0
0/20,12/20,650,65000,85.64818596839905,35.78716055024415,45.76861899346113,4436.405662536621,0.0
0/20,13/20,700,70000,87.35291361808777,35.25816262047738,46.89151111803949,4680.747746706009,0.0
0/20,14/20,750,75000,85.11653304100037,38.947389396838844,48.58773508481681,4971.179876327515,0.0
0/20,15/20,800,80000,86.08023405075073,38.552131759002805,48.83913356810808,5251.29368853569,0.0
0/20,16/20,850,85000,86.20834684371948,38.913189803250134,49.04455650784075,5472.877619743347,0.0
0/20,17/20,900,90000,88.00758671760559,40.228162571787834,49.83390057645738,5721.121235132217,0.0
0/20,18/20,950,95000,87.86035013198853,41.408844113349915,48.15543853677809,5922.103724718094,0.0
0/20,19/20,1000,100000,88.09210848808289,44.54344540927559,50.25470759533346,6142.043106555939,0.0
1/20,0/20,1050,105000,88.77694368362427,46.3958306312561,49.71884339675307,6313.078903913498,0.0
1/20,1/20,1100,110000,84.7100145816803,41.83066272176802,49.38341965712607,6495.986919879913,0.0
1/20,2/20,1150,115000,88.25788378715515,45.5731459967792,50.18783142417669,6652.89913725853,0.0
1/20,3/20,1200,120000,86.93204283714294,44.05957229062915,50.65927802398801,6866.370131492615,0.0
1/20,4/20,1250,125000,85.99637699127197,45.14245027117431,52.597327064722776,7081.99519610405,0.0
1/20,5/20,1300,130000,86.00685286521912,40.928995489142835,52.869797714054585,7199.646636009216,0.0
1/20,6/20,1350,135000,84.7690076828003,48.121200039982796,53.411836702376604,7312.853623867035,0.0
1/20,7/20,1400,140000,87.22935891151428,44.298769384622574,54.949192598462105,7454.789996147156,0.0
