Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,41.1461341381073,,,,0.0
0/20,1/20,100,10000,42.84432554244995,4.24108511954546,10.633952051401138,0.2583605479449034,0.0
0/20,2/20,150,15000,85.27340412139893,29.086012536194175,799.4210383594036,6.398025464266539,0.0
0/20,3/20,200,20000,85.62324261665344,22.987451400142163,1351.07543694973,20.818949174135923,0.0
0/20,4/20,250,25000,80.68244791030884,24.340904029086232,1780.087671995163,39.670319544151425,0.0
0/20,5/20,300,30000,81.50509858131409,23.042455698363483,2163.7590222358704,40.639854373410344,0.0
0/20,6/20,350,35000,81.76551961898804,28.270666927099228,2547.512356877327,45.32177977822721,0.0
0/20,7/20,400,40000,81.39683485031128,26.8375842301175,2871.3385618925095,47.269281866028905,0.0
0/20,8/20,450,45000,80.2836549282074,26.818718008697033,3247.9647085666656,43.701468378305435,0.0
0/20,9/20,500,50000,81.74499559402466,29.806717318482697,3564.9850795269012,43.16913582012057,0.0
0/20,10/20,550,55000,83.20934414863586,32.43807864096016,3866.858788251877,45.81466717272997,0.0
0/20,11/20,600,60000,79.93063592910767,34.01579943858087,4195.186146020889,44.40737671032548,0.0
0/20,12/20,650,65000,82.97302460670471,34.07777269650251,4474.447632074356,44.92815391160548,0.0
0/20,13/20,700,70000,83.54936385154724,39.26119608525187,4704.160944223404,45.51318411156535,0.0
0/20,14/20,750,75000,85.42847990989685,42.7042543804273,4931.883949756622,45.87952673621476,0.0
0/20,15/20,800,80000,85.17192602157593,41.094597334973514,5145.04376244545,46.81590991280973,0.0
0/20,16/20,850,85000,86.48924231529236,39.02827490773052,5345.976017951965,47.9325317889452,0.0
0/20,17/20,900,90000,86.65213441848755,42.69841839559376,5565.817115068436,48.31911289691925,0.0
0/20,18/20,950,95000,87.19125485420227,40.57153196353465,5788.221879959106,48.43722830526531,0.0
0/20,19/20,1000,100000,86.31206965446472,45.66693644411862,6035.5374665260315,48.891576858237386,0.0
1/20,0/20,1050,105000,88.4961576461792,47.577370297163725,6219.036243915558,50.84168239869177,0.0
