Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,38.50143384933472,,,,0.0
0/20,1/20,100,10000,43.18436026573181,0.2431834931485355,4.061353892087936,9.1476481705904,0.0
0/20,2/20,150,15000,83.242116689682,5.551786102121696,26.650927312206477,764.0825327038765,0.0
0/20,3/20,200,20000,80.9116473197937,14.549618415767327,22.946283967699856,1302.6265400648117,0.0
0/20,4/20,250,25000,83.23495292663574,35.050115953199565,29.594272654503584,1764.821870803833,0.0
0/20,5/20,300,30000,81.35845804214478,39.25485759694129,30.282647880725563,2206.807522058487,0.0
0/20,6/20,350,35000,82.77327156066895,42.81051879748702,30.037916406057775,2589.7863923311234,0.0
0/20,7/20,400,40000,80.0650463104248,43.0536436829716,29.53403752297163,2943.15363407135,0.0
0/20,8/20,450,45000,79.90950918197632,42.627180222421885,30.91773523297161,3289.186018705368,0.0
0/20,9/20,500,50000,82.18643260002136,44.147946456447244,31.185308303683996,3613.0910012722015,0.0
0/20,10/20,550,55000,82.69610142707825,42.68780012615025,29.770819110795856,3940.6580476760864,0.0
0/20,11/20,600,60000,84.32185101509094,42.39332493022084,32.78970875404775,4250.899505615234,0.0
0/20,12/20,650,65000,80.88153743743896,43.19099364057183,33.040728277526796,4527.088809013367,0.0
0/20,13/20,700,70000,83.52014327049255,43.96755434386432,35.344208476133645,4801.64049077034,0.0
0/20,14/20,750,75000,84.33629822731018,41.89506752602756,31.370858917944133,5042.035749912262,0.0
0/20,15/20,800,80000,84.33645987510681,42.09182704240084,33.47783746384084,5251.761105775833,0.0
0/20,16/20,850,85000,86.15200924873352,43.38627392053604,37.05627312324941,5462.311518192291,0.0
0/20,17/20,900,90000,84.06912970542908,45.072638330981135,41.406725659035146,5704.622962713242,0.0
0/20,18/20,950,95000,85.41258001327515,47.66264459863305,40.02764342259616,5917.254695415497,0.0
0/20,19/20,1000,100000,86.48447585105896,49.31641601212323,40.31512855179608,6123.4777364730835,0.0
1/20,0/20,1050,105000,87.03075385093689,50.01083988137543,41.653237169608474,6314.164444446564,0.0
1/20,1/20,1100,110000,86.5063624382019,49.943110693246126,40.424764750525355,6482.824098587036,0.0
1/20,2/20,1150,115000,83.89959812164307,48.81122185662389,38.063928140327334,6680.339931964874,0.0
1/20,3/20,1200,120000,87.84572887420654,48.45445127412677,39.32615522202104,6818.668068885803,0.0
1/20,4/20,1250,125000,84.48828411102295,48.328715700656176,38.50749580189586,6967.114922046661,0.0
1/20,5/20,1300,130000,85.36046862602234,48.70752292312682,36.803860689513385,7157.937226295471,0.0
1/20,6/20,1350,135000,84.96149516105652,47.86449744924903,36.11272639967501,7287.462488651276,0.0
1/20,7/20,1400,140000,87.05669713020325,48.37796111218631,44.2648714100942,7432.474858760834,0.0
1/20,8/20,1450,145000,87.1720221042633,48.60454506799579,43.62621306627989,7598.552704334259,0.0
1/20,9/20,1500,150000,87.30987000465393,49.43148108758032,39.2037020502612,7638.561988353729,0.0
1/20,10/20,1550,155000,86.39620733261108,49.58588656410575,40.67268764972687,7767.565135478973,0.0
1/20,11/20,1600,160000,82.02230501174927,48.21141598187387,38.291453703306615,7784.262258052826,0.0
1/20,12/20,1650,165000,83.74687361717224,47.5990341771394,39.189364813268185,7967.666723251343,0.0
1/20,13/20,1700,170000,86.03057360649109,47.7835568767041,41.234398348256946,8048.560023784637,0.0
1/20,14/20,1750,175000,85.49727654457092,47.54563433304429,36.69517771527171,8172.420920848846,0.0
1/20,15/20,1800,180000,85.9813973903656,47.013565639033914,40.5967772891745,8273.148334026337,0.0
1/20,16/20,1850,185000,86.67232465744019,50.37528716772795,40.95217447541654,8397.016815185547,0.0
1/20,17/20,1900,190000,85.20149421691895,49.20649582147598,38.158718314021826,8462.22689962387,0.0
1/20,18/20,1950,195000,83.08789920806885,47.462891668081284,38.42958053294569,8486.483414173126,0.0
1/20,19/20,2000,200000,87.08550715446472,48.32186537235975,41.409927600063384,8588.061228752136,0.0
2/20,0/20,2050,205000,84.20591998100281,49.00534885749221,38.98247480392456,8709.134618282318,0.0
2/20,1/20,2100,210000,86.85359716415405,47.83524705097079,37.21714284643531,8730.046105384827,0.0
2/20,2/20,2150,215000,86.9547073841095,49.329375399276614,37.816483912058175,8861.961324214935,0.0
2/20,3/20,2200,220000,86.88435888290405,49.42538696527481,38.929371140897274,8877.694483757019,0.0
2/20,4/20,2250,225000,85.1817398071289,50.30362909846008,38.54254928044975,8971.376943588257,0.0
2/20,5/20,2300,230000,85.37938928604126,51.01649761386216,41.05488377250731,9095.511021614075,0.0
2/20,6/20,2350,235000,87.18532061576843,50.155882857739925,37.14928797353059,9053.048818588257,0.0
2/20,7/20,2400,240000,87.53192615509033,49.71366306580603,38.60724227130413,9134.034435272217,0.0
2/20,8/20,2450,245000,84.78906011581421,50.52154787257314,40.60933745559305,9129.385659217834,0.0
2/20,9/20,2500,250000,86.24805760383606,51.15086407400668,41.208703693933785,9182.406204223633,0.0
2/20,10/20,2550,255000,85.2356595993042,53.2842063549906,50.638231152668595,9252.777462482452,0.0
2/20,11/20,2600,260000,88.25913143157959,51.119738852605224,37.01691142749041,9301.532308578491,0.0
2/20,12/20,2650,265000,84.32188677787781,50.22376895882189,38.598884807899594,9410.242797851562,0.0
2/20,13/20,2700,270000,87.73989510536194,51.22330033220351,38.7613704521209,9393.708407402039,0.0
2/20,14/20,2750,275000,85.00543904304504,51.53401189483702,38.176201310008764,9448.785184383392,0.0
2/20,15/20,2800,280000,85.30667877197266,49.68666632287204,38.789186117239296,9522.558682441711,0.0
2/20,16/20,2850,285000,87.42367935180664,51.112004017457366,39.10686887986958,9585.808262348175,0.0
2/20,17/20,2900,290000,84.77728652954102,52.07746542990208,41.52400891762227,9500.21442747116,0.0
2/20,18/20,2950,295000,85.6789870262146,51.68872941657901,38.675842988304794,9489.877235889435,0.0
2/20,19/20,3000,300000,84.27809977531433,51.702812142670155,42.74765622243285,9575.796420574188,0.0
3/20,0/20,3050,305000,84.79465341567993,51.941162368282676,38.025111339986324,9595.305392742157,0.0
3/20,1/20,3100,310000,87.79571723937988,50.06692784652114,46.38143201265484,9675.658654212952,0.0
3/20,2/20,3150,315000,87.09726619720459,50.70785519853234,38.10443761013448,9733.648190021515,0.0
3/20,3/20,3200,320000,83.75402045249939,51.21784495562315,51.45096158795059,9712.39118385315,0.0
3/20,4/20,3250,325000,86.13050985336304,52.67666694149375,33.9812055118382,9726.006170749664,0.0
3/20,5/20,3300,330000,86.57354712486267,50.52167032845318,36.93023498170078,9790.90049123764,0.0
3/20,6/20,3350,335000,82.90138602256775,50.468092046678066,37.550706474110484,9799.972533226013,0.0
3/20,7/20,3400,340000,85.27160286903381,50.98960768058896,34.96043405402452,9933.321135997772,0.0
3/20,8/20,3450,345000,84.79452705383301,51.22599285468459,32.327512585558,9869.921510696411,0.0
3/20,9/20,3500,350000,85.98383045196533,51.10978256724775,36.52032453380525,9933.43011188507,0.0
3/20,10/20,3550,355000,86.0930483341217,52.107027530670166,31.61203544586897,9925.069091320038,0.0
3/20,11/20,3600,360000,85.76966738700867,49.809615172445774,33.64564353879541,9959.343432426453,0.0
3/20,12/20,3650,365000,87.35536813735962,48.77391662634909,31.38747006934136,9980.019851207733,0.0
3/20,13/20,3700,370000,83.18150067329407,48.9490682836622,30.17603926360607,9963.219253540039,0.0
3/20,14/20,3750,375000,83.29855632781982,48.49214949272573,33.59311107825488,9967.181202411652,0.0
3/20,15/20,3800,380000,85.78320670127869,49.69444862008095,31.58709183242172,10015.03158712387,0.0
3/20,16/20,3850,385000,87.50105714797974,49.59501085244119,29.917132477276027,10123.40751171112,0.0
3/20,17/20,3900,390000,86.60348343849182,50.3112582936883,49.63131071906537,10136.963909626007,0.0
3/20,18/20,3950,395000,85.53386092185974,48.88693207874894,29.605184842832386,10068.866963863373,0.0
3/20,19/20,4000,400000,83.03535509109497,49.407683830708265,29.139461060985923,10173.91510629654,0.0
4/20,0/20,4050,405000,84.89282989501953,50.79032768495381,30.065643209964037,10107.005651950836,0.0
4/20,1/20,4100,410000,86.22804164886475,50.09825709275901,29.636607957072556,10118.008884906769,0.0
4/20,2/20,4150,415000,86.6316785812378,48.41815523058176,36.14485164452344,10169.99033498764,0.0
4/20,3/20,4200,420000,87.69738721847534,49.70805434137583,30.708210087381303,10159.668598651886,0.0
4/20,4/20,4250,425000,85.82766914367676,50.17723466269672,33.01996741257608,10153.816674232483,0.0
4/20,5/20,4300,430000,87.10221743583679,50.16620357334614,32.13803426269442,10178.61396598816,0.0
4/20,6/20,4350,435000,85.25101017951965,50.28286839090288,38.1840395135805,10133.125306129456,0.0
4/20,7/20,4400,440000,86.26428818702698,50.26403443515301,29.46072863601148,10249.419783592224,0.0
4/20,8/20,4450,445000,88.85771799087524,49.85455377586186,36.02707790117711,10229.28296327591,0.0
4/20,9/20,4500,450000,81.7650637626648,49.1070370413363,39.55797170381993,10295.255149364471,0.0
4/20,10/20,4550,455000,86.21536350250244,52.37545428983867,45.13722316827625,10249.964203357697,0.0
4/20,11/20,4600,460000,82.18112301826477,52.02413893118501,35.24110614322126,10216.816216945648,0.0
4/20,12/20,4650,465000,84.20674538612366,51.72233661264181,31.012640833854675,10297.311856269836,0.0
4/20,13/20,4700,470000,86.9564859867096,50.26010601222515,30.368558704853058,10266.084593296051,0.0
4/20,14/20,4750,475000,84.58709502220154,49.73119169846177,31.01658548694104,10287.631655693054,0.0
4/20,15/20,4800,480000,88.08166646957397,51.56725819222629,29.369704228825867,10302.669561386108,0.0
4/20,16/20,4850,485000,86.35814189910889,50.525496346876025,28.90122949331999,10303.766912460327,0.0
4/20,17/20,4900,490000,87.27946519851685,52.49901480413973,29.129732600413263,10255.739814281464,0.0
4/20,18/20,4950,495000,85.77488493919373,50.24322174116969,33.830911910161376,10262.509447097778,0.0
4/20,19/20,5000,500000,86.73538994789124,50.3039880618453,37.562378079630435,10284.397186756134,0.0
5/20,0/20,5050,505000,84.18242454528809,50.36121543496847,31.01239381171763,10215.908307552338,0.0
5/20,1/20,5100,510000,85.86011576652527,51.35695279017091,40.69857628643513,10282.258130550385,0.0
5/20,2/20,5150,515000,86.697509765625,51.09109862148762,30.577929533086717,10301.356508731842,0.0
5/20,3/20,5200,520000,83.84026622772217,51.223678041249514,29.547699733637273,10294.454535484314,0.0
5/20,4/20,5250,525000,86.70481896400452,50.80078793875873,27.736901712603867,10342.475743293762,0.0
5/20,5/20,5300,530000,84.93560218811035,50.50047278217971,27.25908711180091,10289.087656497955,0.0
5/20,6/20,5350,535000,87.30107712745667,50.89444535411894,35.1662871548906,10324.450724601746,0.0
5/20,7/20,5400,540000,84.72923803329468,50.49062730744481,44.40590334031731,10325.255050182343,0.0
5/20,8/20,5450,545000,83.5488772392273,49.484295316040516,40.78934287466109,10306.694486618042,0.0
5/20,9/20,5500,550000,84.47405982017517,49.12267657369375,36.983014753088355,10371.454022884369,0.0
5/20,10/20,5550,555000,83.16541481018066,49.10417550988495,46.741084965877235,10339.091223239899,0.0
5/20,11/20,5600,560000,86.22925353050232,51.68494183383882,52.101675535552204,10363.357055664062,0.0
5/20,12/20,5650,565000,85.62338876724243,51.33569583110511,30.670113536529243,10295.556202411652,0.0
5/20,13/20,5700,570000,82.006343126297,50.42003007978201,28.76851632911712,10340.01317691803,0.0
5/20,14/20,5750,575000,83.51562309265137,49.564802745357156,33.249494798481464,10337.206551551819,0.0
