Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,40.30948042869568,,,,0.0
0/20,1/20,100,10000,44.318995237350464,9.173685878515244,0.23076653922908008,4.082096576690674,0.0
0/20,2/20,150,15000,82.65623211860657,779.1984843611717,6.318645471939817,27.460056740790606,0.0
0/20,3/20,200,20000,85.65658354759216,1355.5352303385735,20.529373165220022,23.571929254569113,0.0
0/20,4/20,250,25000,81.01717877388,1800.2021950483322,40.6383598651737,26.939731136895716,0.0
0/20,5/20,300,30000,84.68398642539978,2200.163982629776,48.4556000828743,26.97257929109037,0.0
0/20,6/20,350,35000,84.41215372085571,2579.3322899341583,48.023981096223,27.258896224200726,0.0
0/20,7/20,400,40000,82.33172965049744,2926.9370934963226,46.72634199075401,26.875482321716845,0.0
0/20,8/20,450,45000,85.13440895080566,3286.9225537776947,45.89891785569489,26.660776088014245,0.0
0/20,9/20,500,50000,86.46123886108398,3623.9201953411102,45.97238071076572,28.166047762148082,0.0
0/20,10/20,550,55000,83.1121244430542,3884.4050390720367,47.75962349399924,29.24478808324784,0.0
0/20,11/20,600,60000,83.98846793174744,4243.510457992554,45.37015617452562,28.75396770890802,0.0
0/20,12/20,650,65000,80.16449642181396,4509.533574104309,44.45393849723041,29.626275585964322,0.0
0/20,13/20,700,70000,83.2138934135437,4791.702498674393,43.93895713239908,28.740420053713024,0.0
0/20,14/20,750,75000,80.76511073112488,5024.434787750244,43.15776168368757,29.12026804499328,0.0
0/20,15/20,800,80000,82.5193305015564,5263.490378141403,42.32203115336597,29.127604371868074,0.0
0/20,16/20,850,85000,82.03726387023926,5456.303799152374,41.9288061093539,32.672322294674814,0.0
0/20,17/20,900,90000,86.2474856376648,5718.400216341019,43.78451619669795,34.536197810433805,0.0
0/20,18/20,950,95000,83.89262270927429,5956.965439796448,43.05120234377682,35.63289634138346,0.0
0/20,19/20,1000,100000,82.97584652900696,6162.917524337769,44.241627510637045,35.733581566251814,0.0
1/20,0/20,1050,105000,79.76464009284973,6334.280811309814,44.53717780485749,35.60163422767073,0.0
1/20,1/20,1100,110000,82.74297571182251,6495.580473899841,47.60356028191745,37.00273553933948,0.0
1/20,2/20,1150,115000,82.83583498001099,6760.50980091095,45.7007225304842,37.33323392830789,0.0
1/20,3/20,1200,120000,86.11900210380554,6843.6419677734375,43.97894555516541,35.067318964749575,0.0
1/20,4/20,1250,125000,82.6680200099945,6996.721894264221,44.86948277615011,36.643341957591474,0.0
1/20,5/20,1300,130000,79.62153196334839,7161.355272293091,44.17305504903197,36.49854291602969,0.0
1/20,6/20,1350,135000,80.8633360862732,7317.299166202545,44.691694455221295,38.815334586426616,0.0
1/20,7/20,1400,140000,83.04846906661987,7525.772046089172,45.473659267649055,41.28841747157276,0.0
1/20,8/20,1450,145000,84.23524618148804,7618.421206474304,49.43486143834889,44.4820672692731,0.0
1/20,9/20,1500,150000,84.51987218856812,7735.88597536087,49.155911169946194,40.39156162366271,0.0
1/20,10/20,1550,155000,86.68452382087708,7869.36114692688,48.08360571414232,41.934156736359,0.0
1/20,11/20,1600,160000,86.01184296607971,8027.793190479279,49.053460255265236,46.836971232667565,0.0
1/20,12/20,1650,165000,82.21045637130737,8129.583190441132,50.10352318547666,41.98739309608936,0.0
1/20,13/20,1700,170000,86.05983233451843,8255.421297073364,49.13934043422341,44.196582866832614,0.0
1/20,14/20,1750,175000,83.09988760948181,8275.764808177948,51.60727610997856,43.49547116924077,0.0
1/20,15/20,1800,180000,86.33770751953125,8415.395552158356,51.722667364403605,45.505359744653106,0.0
1/20,16/20,1850,185000,86.07519721984863,8454.127541065216,53.52075323648751,49.852601047605276,0.0
1/20,17/20,1900,190000,84.617671251297,8523.97504901886,55.438411109149456,49.49771351926029,0.0
1/20,18/20,1950,195000,84.56164407730103,8684.572810649872,53.5351774841547,48.84345259331167,0.0
1/20,19/20,2000,200000,83.55835819244385,8792.910191059113,53.25640260241926,46.74742019362748,0.0
2/20,0/20,2050,205000,84.74508237838745,8772.052791118622,54.00226115807891,47.007285971194506,0.0
2/20,1/20,2100,210000,85.6377375125885,8832.270661830902,52.648625718429685,50.98415857926011,0.0
2/20,2/20,2150,215000,84.46736073493958,8928.728669166565,54.33949148282409,44.99297973513603,0.0
2/20,3/20,2200,220000,86.49379086494446,8958.944777011871,53.612719336524606,50.95961474068463,0.0
2/20,4/20,2250,225000,84.62965106964111,9040.245657920837,53.45181559585035,47.24730219691992,0.0
2/20,5/20,2300,230000,84.63065385818481,9051.686152935028,52.92279193550348,45.45768581330776,0.0
2/20,6/20,2350,235000,84.35851860046387,9102.238721847534,52.81678491644561,45.101683570072055,0.0
2/20,7/20,2400,240000,83.9773485660553,9192.965812683105,52.10904827900231,41.94510418269783,0.0
2/20,8/20,2450,245000,85.87935853004456,9251.473398208618,52.1761292014271,46.00041585974395,0.0
2/20,9/20,2500,250000,84.11989068984985,9329.356174945831,50.89585820026696,49.62432975880802,0.0
2/20,10/20,2550,255000,85.64010787010193,9346.68204832077,53.06109824590385,47.545339688658714,0.0
