Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/30,0/20,50,5000,37.739306926727295,,,,0.0
0/30,1/20,100,10000,140.92455172538757,3.4068178832530975,0.31162646412849426,5.994377851486206,0.0
0/30,2/20,150,15000,179.04856419563293,22.14206486660987,2.974556926637888,570.413663238287,0.0
0/30,3/20,200,20000,180.46057057380676,18.973747809417546,7.873268293682486,1030.3534681200981,0.0
0/30,4/20,250,25000,182.21055841445923,31.614064378663898,24.52924402570352,1385.281296133995,0.0
0/30,5/20,300,30000,175.3787305355072,51.67425878159702,31.096069044433534,1732.8393952846527,0.0
0/30,6/20,350,35000,176.3438913822174,68.92545404285192,36.11380510404706,2075.0521068573,0.0
0/30,7/20,400,40000,174.80146408081055,85.19421101734042,41.73179527372122,2381.6413546800613,0.0
0/30,8/20,450,45000,172.5084023475647,104.82804966159165,51.49237066321075,2683.6996297836304,0.0
0/30,9/20,500,50000,172.61145782470703,126.43174355477095,56.250179439783096,2918.896123766899,0.0
0/30,10/20,550,55000,177.89915323257446,148.3486106991768,58.66509800776839,3199.052608847618,0.0
0/30,11/20,600,60000,176.0080850124359,186.33759315684438,63.41410068422556,3391.8417756557465,0.0
0/30,12/20,650,65000,176.35105419158936,209.15394250303507,69.56591107323766,3561.7590494155884,0.0
0/30,13/20,700,70000,176.98506474494934,237.73959646001458,76.29641950130463,3665.977728366852,0.0
0/30,14/20,750,75000,181.11483192443848,262.6130655929446,75.71749817207456,3829.107678413391,0.0
0/30,15/20,800,80000,180.9304347038269,283.9983584433794,77.07934447750449,3994.9087421894073,0.0
0/30,16/20,850,85000,179.1841299533844,310.0163369178772,82.88442346453667,4103.420786857605,0.0
0/30,17/20,900,90000,180.30758142471313,333.13111037015915,90.15763542801142,4149.880352497101,0.0
0/30,18/20,950,95000,180.49974036216736,341.1591742709279,88.1172762401402,4172.32744717598,0.0
0/30,19/20,1000,100000,179.0790684223175,372.25291852653027,90.60486710071564,4206.042459964752,0.0
1/30,0/20,1050,105000,182.17516899108887,375.03869910538197,98.64862468838692,4168.124513626099,0.0
1/30,1/20,1100,110000,180.59758257865906,389.3667629137635,100.556397177279,4201.700377941132,0.0
1/30,2/20,1150,115000,179.59881782531738,435.327183380723,107.97317443788052,4263.647602319717,0.0
1/30,3/20,1200,120000,178.33733654022217,432.6764774918556,111.28029008209705,4159.857847690582,0.0
1/30,4/20,1250,125000,180.85066056251526,462.0350839793682,108.01909393072128,4152.5533266067505,0.0
1/30,5/20,1300,130000,177.8307683467865,444.30287474393845,112.50255742669106,4136.463556051254,0.0
1/30,6/20,1350,135000,178.635155916214,439.24377512931824,117.43131256848574,4088.391838312149,0.0
1/30,7/20,1400,140000,179.38418626785278,453.77466809749603,120.49936777353287,4047.1180834770203,0.0
1/30,8/20,1450,145000,179.14335227012634,476.22117225825787,123.86111550033092,4015.0040822029114,0.0
1/30,9/20,1500,150000,180.32193756103516,471.2717419564724,124.07891418784857,3966.5981163978577,0.0
1/30,10/20,1550,155000,183.66890168190002,482.08656446635723,127.0189660936594,3887.560700893402,0.0
1/30,11/20,1600,160000,180.42293882369995,478.5998295545578,126.4579593539238,3834.329041957855,0.0
1/30,12/20,1650,165000,180.31788229942322,475.489797860384,129.33313942700624,3778.3537006378174,0.0
1/30,13/20,1700,170000,178.62896585464478,458.67335188388824,125.18124244362116,3682.526465177536,0.0
1/30,14/20,1750,175000,181.73864698410034,458.6855666786432,127.58920665085316,3626.3433492183685,0.0
1/30,15/20,1800,180000,178.83724665641785,426.07273338735104,126.35235341638327,3616.4749426841736,0.0
1/30,16/20,1850,185000,180.57131123542786,422.00427927076817,126.93382518738508,3580.635414123535,0.0
1/30,17/20,1900,190000,179.75034618377686,424.82769514620304,126.54045207053423,3541.3139641284943,0.0
1/30,18/20,1950,195000,178.94785952568054,427.63401336967945,127.38184608519077,3505.586814880371,0.0
1/30,19/20,2000,200000,179.96129822731018,434.41482074558735,127.64525212347507,3468.6754817962646,0.0
2/30,0/20,2050,205000,178.88199615478516,409.68304289877415,126.070261888206,3430.4386417865753,0.0
2/30,1/20,2100,210000,178.21351671218872,391.8406348824501,128.24732817709446,3371.6135425567627,0.01
2/30,2/20,2150,215000,177.86543560028076,403.1470130831003,126.49030458182096,3362.954659461975,0.0
2/30,3/20,2200,220000,178.1515793800354,409.4987789541483,126.3402941301465,3293.547444343567,0.0
2/30,4/20,2250,225000,176.635502576828,401.59944297373295,124.20091436803341,3285.615281224251,0.0
2/30,5/20,2300,230000,178.3079924583435,377.38404926657677,123.70849730819464,3281.488203763962,0.01
2/30,6/20,2350,235000,177.68653678894043,396.60900042951107,123.8937734439969,3241.0023757219315,0.0
2/30,7/20,2400,240000,177.08507084846497,416.56962190568447,124.58743672817945,3219.35054564476,0.0
2/30,8/20,2450,245000,176.94970536231995,433.5619712918997,127.7422477453947,3194.943928003311,0.0
2/30,9/20,2500,250000,178.35135316848755,423.119373485446,127.6957191824913,3178.5358333587646,0.0
2/30,10/20,2550,255000,179.7475447654724,396.6363574266434,123.5757237225771,3166.619840860367,0.0
2/30,11/20,2600,260000,178.0220432281494,389.5230649113655,125.47348659485579,3129.808519601822,0.0
2/30,12/20,2650,265000,177.60382056236267,378.5625556707382,126.52712824195623,3128.337504386902,0.0
2/30,13/20,2700,270000,178.09540033340454,374.7040043324232,128.53554512560368,3094.577910900116,0.0
2/30,14/20,2750,275000,177.42756414413452,361.41304133832455,127.74945553392172,3074.1136751174927,0.0
2/30,15/20,2800,280000,178.78649306297302,369.6678396910429,124.21207275986671,3070.9731323719025,0.0
2/30,16/20,2850,285000,181.98876452445984,357.188887745142,124.48391359299421,3044.311836004257,0.0
2/30,17/20,2900,290000,180.91260647773743,359.1478806734085,126.27901601046324,3038.5983815193176,0.0
2/30,18/20,2950,295000,180.71187019348145,356.6980641037226,125.1937221288681,3033.2148176431656,0.0
2/30,19/20,3000,300000,179.72448778152466,355.63628010451794,122.2515202537179,3018.2023082971573,0.0
3/30,0/20,3050,305000,184.60919404029846,377.74650950729847,125.7507180199027,3025.2704676389694,0.0
3/30,1/20,3100,310000,180.12778234481812,361.2723308354616,127.64725834131241,2974.889610886574,0.0
3/30,2/20,3150,315000,180.54530692100525,358.6401981189847,122.30115125328302,2992.425050020218,0.0
3/30,3/20,3200,320000,182.99611067771912,371.72699078917503,127.03241679817438,3013.8826208114624,0.0
3/30,4/20,3250,325000,179.59873962402344,357.77517718076706,126.6644271761179,2969.3960857391357,0.0
3/30,5/20,3300,330000,177.7130835056305,366.0187359303236,127.1391324326396,2974.610719561577,0.0
3/30,6/20,3350,335000,180.28303742408752,362.3639838695526,124.08142052590847,2956.314824938774,0.0
3/30,7/20,3400,340000,180.11553192138672,358.9453435242176,123.61744603514671,2936.2843047380447,0.0
3/30,8/20,3450,345000,179.0992133617401,366.94371347129345,124.98009175807238,2946.098377585411,0.0
3/30,9/20,3500,350000,179.40318703651428,360.12844950705767,123.96623255312443,2928.77667927742,0.0
3/30,10/20,3550,355000,181.9849991798401,377.40168093144894,126.99893539398909,2898.8755116462708,0.0
3/30,11/20,3600,360000,181.71255540847778,396.51775439083576,127.86663331091404,2898.068348646164,0.0
3/30,12/20,3650,365000,180.7923400402069,375.44144473969936,133.26092503219843,2865.956252336502,0.02
3/30,13/20,3700,370000,182.86012887954712,368.09713454544544,135.2190123051405,2822.607211112976,0.0
3/30,14/20,3750,375000,183.68813753128052,386.6258368641138,135.4150261953473,2828.3113124370575,0.0
3/30,15/20,3800,380000,182.02513575553894,380.4627447873354,136.16764083504677,2823.6447199583054,0.02
3/30,16/20,3850,385000,183.15830993652344,351.9963788688183,140.6952141970396,2806.409959435463,0.0
3/30,17/20,3900,390000,182.22299456596375,384.67462906241417,143.80036008358002,2791.8283118009567,0.01
3/30,18/20,3950,395000,181.86854720115662,394.08260567486286,148.57354720681906,2758.266876101494,0.05
3/30,19/20,4000,400000,180.05023384094238,370.90554705262184,147.6290173754096,2751.508985042572,0.06
4/30,0/20,4050,405000,180.27191257476807,360.19992768764496,152.40543939173222,2732.1989567279816,0.02
4/30,1/20,4100,410000,182.4913785457611,366.45203599333763,154.7282720208168,2720.6892025470734,0.08
4/30,2/20,4150,415000,185.24458169937134,369.4654788225889,153.46987349539995,2725.4297991991043,0.01
4/30,3/20,4200,420000,182.92054176330566,384.8913235068321,152.19008445739746,2696.032967567444,0.0
4/30,4/20,4250,425000,181.16533255577087,361.65505918860435,150.97373531013727,2726.116197824478,0.06
4/30,5/20,4300,430000,181.7830686569214,377.843186378479,152.14992806315422,2728.394060611725,0.16
4/30,6/20,4350,435000,182.4812262058258,368.5404682159424,152.49380555003881,2773.781440138817,0.02
4/30,7/20,4400,440000,179.40754747390747,368.7379718273878,153.46629708260298,2755.186722636223,0.03
4/30,8/20,4450,445000,181.33573412895203,357.8437297642231,155.42609436064959,2791.061506152153,0.01
4/30,9/20,4500,450000,181.19572162628174,394.5180679112673,157.0075610280037,2782.405738592148,0.09
4/30,10/20,4550,455000,182.2560007572174,375.147111132741,155.91539008915424,2779.0486050844193,0.18
4/30,11/20,4600,460000,180.63572025299072,332.05513498187065,155.56960836052895,2801.7048008441925,0.08
4/30,12/20,4650,465000,183.36860632896423,373.3975579440594,158.70367607474327,2835.9079364538193,0.11
4/30,13/20,4700,470000,182.48888897895813,393.5564969778061,156.61946086585522,2851.2960745096207,0.29
4/30,14/20,4750,475000,181.5030460357666,366.88347013294697,155.97822915017605,2892.311948776245,0.23
4/30,15/20,4800,480000,183.07807993888855,395.62958074361086,159.43424087762833,2911.5797760486603,0.04
4/30,16/20,4850,485000,183.6581404209137,370.2242872416973,156.86054123193026,2937.8498178720474,0.29
4/30,17/20,4900,490000,182.88049030303955,365.99861577153206,158.685382142663,2978.785158395767,0.22
4/30,18/20,4950,495000,181.85932326316833,366.0689772069454,158.8926678299904,3032.9596321582794,0.25
4/30,19/20,5000,500000,184.27825832366943,411.913490191102,157.53565852344036,3043.1346604824066,0.12
5/30,0/20,5050,505000,184.27478671073914,399.1174992322922,157.570107832551,3071.148711204529,0.25
5/30,1/20,5100,510000,180.32866168022156,372.6499715447426,156.46576748788357,3094.2989604473114,0.28
5/30,2/20,5150,515000,181.3455605506897,392.83964800834656,159.78772059082985,3122.145519256592,0.25
5/30,3/20,5200,520000,182.48248147964478,375.5830267518759,158.7524219751358,3168.7250714302063,0.25
5/30,4/20,5250,525000,185.65092706680298,386.06880674511194,158.6525595933199,3171.676444530487,0.23
5/30,5/20,5300,530000,194.7432861328125,414.9373821467161,162.32979895174503,3153.3267616033554,0.27
5/30,6/20,5350,535000,197.15876245498657,423.0016570240259,160.9839582592249,3167.4447119235992,0.19
5/30,7/20,5400,540000,195.6984841823578,451.8537357598543,158.13757011294365,3172.613182067871,0.21
5/30,8/20,5450,545000,196.1995723247528,438.6914262920618,160.77780717611313,3202.2907469272614,0.28
5/30,9/20,5500,550000,198.7762894630432,419.3712016791105,160.36910513043404,3216.4155209064484,0.23
5/30,10/20,5550,555000,194.5599524974823,436.86556020379066,158.06531183421612,3233.135849714279,0.21
5/30,11/20,5600,560000,194.06558442115784,444.73575380444527,158.3028064072132,3265.90238404274,0.26
5/30,12/20,5650,565000,198.85181045532227,420.4563546925783,157.9667584002018,3313.2259283065796,0.29
5/30,13/20,5700,570000,196.28437089920044,440.366649761796,157.62623604387045,3352.201597929001,0.34
5/30,14/20,5750,575000,196.90253949165344,452.4295490384102,158.12008625268936,3363.4056582450867,0.32
5/30,15/20,5800,580000,201.5792350769043,446.6923503279686,159.6014515310526,3409.779860019684,0.31
5/30,16/20,5850,585000,197.27990078926086,426.0496521294117,157.47601671516895,3414.980836391449,0.28
5/30,17/20,5900,590000,197.45615458488464,431.2567885816097,156.3229300826788,3482.9993300437927,0.34
5/30,18/20,5950,595000,195.21305346488953,444.6855771243572,156.55710557103157,3519.96448969841,0.27
5/30,19/20,6000,600000,194.21401691436768,451.8629294782877,156.27015115320683,3544.946630001068,0.27
6/30,0/20,6050,605000,197.35336208343506,442.3220018595457,152.86873124539852,3569.9034934043884,0.36
6/30,1/20,6100,610000,196.55339980125427,447.87770389020443,154.2236386090517,3651.55930352211,0.42
6/30,2/20,6150,615000,194.61396980285645,468.84578071534634,154.53780142962933,3652.9132001399994,0.21
6/30,3/20,6200,620000,197.24499583244324,462.98047710955143,156.13700975477695,3685.5587496757507,0.36
6/30,4/20,6250,625000,197.03617238998413,467.5309291034937,156.7877435386181,3728.2445561885834,0.28
6/30,5/20,6300,630000,194.1727225780487,447.19243447482586,153.5193605646491,3743.8445703983307,0.34
6/30,6/20,6350,635000,198.6299705505371,476.45089976489544,153.8012085929513,3775.590022802353,0.37
6/30,7/20,6400,640000,199.07231187820435,470.98650056123734,153.6561225876212,3825.5041575431824,0.5
6/30,8/20,6450,645000,196.56757473945618,485.9585995078087,154.15897975862026,3872.547309398651,0.34
6/30,9/20,6500,650000,196.15200924873352,486.3066149055958,153.92388653755188,3895.05016541481,0.25
6/30,10/20,6550,655000,195.94053030014038,499.54712502658367,154.94115282595158,3916.2101950645447,0.35
6/30,11/20,6600,660000,195.15954732894897,458.52235485613346,153.62031204998493,3934.668523788452,0.43
6/30,12/20,6650,665000,195.46348333358765,486.53702932596207,151.6584875881672,3970.18114733696,0.35
6/30,13/20,6700,670000,195.12210059165955,461.2601450532675,154.46812576055527,3992.04212808609,0.33
6/30,14/20,6750,675000,197.11013388633728,481.4514447003603,155.77476209402084,3983.4614808559418,0.39
6/30,15/20,6800,680000,196.42807340621948,456.5518536120653,153.51517495512962,4011.1389243602753,0.33
6/30,16/20,6850,685000,193.1069095134735,451.0302641093731,153.80405624210835,4040.702526330948,0.28
6/30,17/20,6900,690000,195.431902885437,497.9189249128103,155.45429906249046,4076.881788253784,0.27
6/30,18/20,6950,695000,193.9552206993103,465.83811117708683,154.2599507123232,4083.5697062015533,0.43
6/30,19/20,7000,700000,196.54451394081116,469.93642158806324,152.1713057383895,4086.811812877655,0.51
7/30,0/20,7050,705000,195.39583492279053,494.0067921727896,151.8034236729145,4125.974716186523,0.37
7/30,1/20,7100,710000,195.24173188209534,518.2989404052496,155.73227974027395,4130.580285072327,0.2
7/30,2/20,7150,715000,195.89185094833374,501.12584987282753,154.51233652979136,4142.561098575592,0.33
7/30,3/20,7200,720000,193.21734356880188,499.7533502727747,153.41322687268257,4190.176010608673,0.51
7/30,4/20,7250,725000,194.603040933609,484.81875471770763,152.87045799940825,4219.48703289032,0.42
7/30,5/20,7300,730000,195.11090731620789,502.0707244873047,156.46075923740864,4237.531865596771,0.4
7/30,6/20,7350,735000,194.17513418197632,485.6926898956299,153.92726476490498,4277.89337682724,0.46
7/30,7/20,7400,740000,195.7434377670288,500.4480679035187,153.67126410454512,4276.805810928345,0.39
7/30,8/20,7450,745000,194.41958332061768,488.7225756794214,153.2526916861534,4265.9789934158325,0.34
7/30,9/20,7500,750000,193.71278381347656,510.58030040562153,156.78419443964958,4296.273827552795,0.4
7/30,10/20,7550,755000,196.29565405845642,519.5420672446489,154.77540342509747,4364.642363071442,0.38
7/30,11/20,7600,760000,194.26701593399048,567.0556169003248,153.80676148831844,4363.734786272049,0.28
7/30,12/20,7650,765000,193.95346784591675,527.1654804646969,152.01484598964453,4351.220325708389,0.31
7/30,13/20,7700,770000,194.18491888046265,539.3137944042683,151.4368628412485,4406.395545959473,0.27
7/30,14/20,7750,775000,194.73374342918396,508.77489461004734,153.43995521217585,4409.519987821579,0.31
7/30,15/20,7800,780000,196.37368535995483,518.9108411967754,154.76699674129486,4471.91237449646,0.33
7/30,16/20,7850,785000,195.85653924942017,581.0529566556215,157.37921464443207,4494.988340139389,0.35
7/30,17/20,7900,790000,196.28608322143555,557.461403042078,159.04624319076538,4509.548624753952,0.42
7/30,18/20,7950,795000,198.43704986572266,544.0260254144669,155.8347768485546,4508.824344396591,0.36
7/30,19/20,8000,800000,194.6520745754242,516.1551239639521,158.93491899222136,4546.9234347343445,0.26
8/30,0/20,8050,805000,194.04955053329468,542.1351820975542,157.09943006187677,4561.491855382919,0.44
8/30,1/20,8100,810000,194.2798273563385,527.2832930833101,158.24595911055803,4596.96696972847,0.36
8/30,2/20,8150,815000,196.6031699180603,592.6206070780754,156.94153071194887,4620.920300483704,0.3
8/30,3/20,8200,820000,196.16602873802185,581.0720952302217,155.47267916053534,4648.7826273441315,0.42
8/30,4/20,8250,825000,194.92767906188965,565.2821793705225,156.09997564554214,4647.0877940654755,0.4
8/30,5/20,8300,830000,194.49733972549438,543.0530853271484,157.05165476351976,4689.5424518585205,0.36
8/30,6/20,8350,835000,195.53386449813843,582.3790095001459,157.81410837173462,4749.399292469025,0.41
8/30,7/20,8400,840000,194.3776149749756,619.4975754618645,159.73947349190712,4715.3821976184845,0.25
8/30,8/20,8450,845000,192.99628376960754,565.9727108776569,160.03984707593918,4716.650659799576,0.38
8/30,9/20,8500,850000,195.88126468658447,561.249804481864,158.1668981835246,4695.353974819183,0.42
8/30,10/20,8550,855000,195.1548912525177,538.7908356189728,159.91975340247154,4690.984328985214,0.34
8/30,11/20,8600,860000,195.04200553894043,567.8306622058153,161.7034569978714,4682.892575263977,0.41
8/30,12/20,8650,865000,197.07192873954773,559.8822974413633,159.96051141619682,4669.9243586063385,0.36
8/30,13/20,8700,870000,197.19637036323547,578.7601152807474,158.0727438852191,4697.710884332657,0.42
8/30,14/20,8750,875000,199.1596450805664,552.1352982521057,161.88075403124094,4698.637046813965,0.4
8/30,15/20,8800,880000,195.99575018882751,555.8092502057552,159.17520464211702,4663.995607614517,0.42
8/30,16/20,8850,885000,195.47986102104187,578.2241428792477,157.08865109086037,4713.558032274246,0.45
8/30,17/20,8900,890000,197.05739164352417,543.8168778568506,159.5043794363737,4704.104426860809,0.5
8/30,18/20,8950,895000,195.2603988647461,542.342685252428,160.4644474387169,4684.006198644638,0.47
8/30,19/20,9000,900000,194.38366556167603,528.6356275528669,157.4838909804821,4717.796416759491,0.39
9/30,0/20,9050,905000,197.65026307106018,541.4335506558418,157.5450457856059,4730.321984767914,0.61
9/30,1/20,9100,910000,196.6912169456482,529.1165814846754,158.07629272341728,4745.651575803757,0.42
