Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/30,0/20,50,5000,33.65979480743408,,,,0.0
0/30,1/20,100,10000,139.56631731987,3.884650781750679,8.868504345417023,0.24323530890978873,0.0
0/30,2/20,150,15000,172.28923773765564,26.43902521301061,725.2588574290276,5.761478482047096,0.0
0/30,3/20,200,20000,174.7014889717102,20.801165868528187,1182.996422111988,12.609679804416373,0.0
0/30,4/20,250,25000,169.49233102798462,35.10427535697818,1518.8876569271088,29.931411558762193,0.0
0/30,5/20,300,30000,170.97249341011047,57.252399019896984,1875.4258155822754,40.15880719572306,0.0
0/30,6/20,350,35000,169.83572578430176,65.6916686091572,2159.8423023223877,47.85441340319812,0.0
0/30,7/20,400,40000,169.72885632514954,85.7740679718554,2458.3455951213837,50.16197099722922,0.0
0/30,8/20,450,45000,171.58204174041748,107.54492541402578,2753.6267615556717,52.17166804242879,0.0
0/30,9/20,500,50000,170.7681441307068,151.30036822333932,3070.1562485694885,58.28676466085017,0.0
0/30,10/20,550,55000,170.83853697776794,177.34798673912883,3310.4183135032654,67.76869895681739,0.0
0/30,11/20,600,60000,168.98580288887024,196.10551703721285,3479.2833342552185,70.84217123314738,0.0
0/30,12/20,650,65000,166.50136256217957,218.8604996651411,3585.352877140045,75.10951938480139,0.0
0/30,13/20,700,70000,168.8297131061554,252.5168795362115,3699.526865005493,81.14606654271483,0.0
0/30,14/20,750,75000,170.6955955028534,273.6047060713172,3809.038495540619,89.14265243709087,0.0
0/30,15/20,800,80000,170.76442408561707,301.0344618037343,3927.4867482185364,96.16065067797899,0.0
0/30,16/20,850,85000,167.27301239967346,332.96653974056244,3991.978661298752,103.84264663606882,0.0
0/30,17/20,900,90000,169.1913230419159,378.4795101881027,4016.8088619709015,106.1876952201128,0.0
0/30,18/20,950,95000,166.88555598258972,368.3300193697214,4028.5713267326355,106.59303209930658,0.0
0/30,19/20,1000,100000,168.3999764919281,377.9811506420374,4034.12132024765,101.89721281081438,0.0
1/30,0/20,1050,105000,169.67361545562744,397.6992205232382,4062.0419833660126,109.33236905187368,0.0
1/30,1/20,1100,110000,166.47158861160278,426.47347381711006,4061.496943950653,114.16734432429075,0.0
1/30,2/20,1150,115000,172.17746353149414,414.6860775500536,4087.0093235969543,119.78034374117851,0.02
1/30,3/20,1200,120000,170.28134775161743,415.8501248806715,4030.688457250595,124.03662979602814,0.0
1/30,4/20,1250,125000,168.840158700943,414.8807307034731,4019.3096334934235,122.81561796367168,0.0
1/30,5/20,1300,130000,170.61617875099182,442.56520216166973,4059.0595326423645,120.98111983388662,0.0
1/30,6/20,1350,135000,168.64587807655334,482.93113477528095,4041.602543115616,123.92651601880789,0.0
1/30,7/20,1400,140000,170.79733300209045,500.73978070914745,4013.976557970047,129.56131161004305,0.0
1/30,8/20,1450,145000,174.08273005485535,463.65660651028156,3965.937286376953,129.76876464486122,0.0
1/30,9/20,1500,150000,175.902113199234,441.9898031502962,3910.0017535686493,132.313576862216,0.0
1/30,10/20,1550,155000,172.43586611747742,457.4911291003227,3851.6653394699097,131.6296896263957,0.0
1/30,11/20,1600,160000,173.15436100959778,434.8139895051718,3786.2707097530365,131.15789414942265,0.02
1/30,12/20,1650,165000,172.56186175346375,470.5636360347271,3771.7197229862213,130.08695024251938,0.03
1/30,13/20,1700,170000,172.37153220176697,437.2359202504158,3744.78178691864,132.2542574852705,0.0
1/30,14/20,1750,175000,172.47464728355408,447.3296384215355,3688.9384405612946,131.70409862697124,0.0
1/30,15/20,1800,180000,171.0340611934662,440.7654901444912,3661.49963927269,131.05478724837303,0.0
1/30,16/20,1850,185000,168.7694547176361,427.6914430260658,3654.104275226593,131.70905588567257,0.0
1/30,17/20,1900,190000,171.8018491268158,433.04054790735245,3605.997918844223,133.18727127462626,0.0
1/30,18/20,1950,195000,171.3209981918335,454.1189765185118,3653.922073364258,131.67730121314526,0.0
