Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/30,0/20,50,5000,36.14723777770996,,,,0.0
0/30,1/20,100,10000,40.07824230194092,3.6963874846696854,0.25015143398195505,6.407033564522862,0.0
0/30,2/20,150,15000,66.2657401561737,24.77931350748986,3.5259475271450356,593.0478136837482,0.0
0/30,3/20,200,20000,67.20564126968384,20.888015271164477,9.58959365193732,1055.9678897857666,0.0
0/30,4/20,250,25000,65.84910225868225,33.826071351766586,26.78734963480383,1460.7903428077698,0.0
0/30,5/20,300,30000,66.47342848777771,47.30844372883439,36.664016207680106,1760.0611346960068,0.0
0/30,6/20,350,35000,66.53117656707764,58.14375678356737,37.1424570158124,2094.0080131292343,0.0
0/30,7/20,400,40000,68.95226263999939,79.19106511957943,39.69304512627423,2393.1178961992264,0.0
0/30,8/20,450,45000,65.61940312385559,95.31671097502112,47.37409142032266,2609.5112488269806,0.0
0/30,9/20,500,50000,69.20298480987549,114.29595186933875,52.200665056705475,2775.1948804855347,0.0
0/30,10/20,550,55000,68.33204650878906,143.56956343352795,57.89665796607733,3027.6480745077133,0.0
0/30,11/20,600,60000,65.12954354286194,216.0888391137123,67.42471899464726,3366.283066511154,0.0
0/30,12/20,650,65000,71.07251954078674,272.9314438998699,76.37269580736756,3570.93018245697,0.0
0/30,13/20,700,70000,69.7964289188385,311.1733088120818,87.13827725872397,3734.426516056061,0.0
0/30,14/20,750,75000,64.06400966644287,327.69133146107197,94.16217193379998,3778.309282064438,0.0
0/30,15/20,800,80000,70.18399715423584,337.51560029387474,95.27763140946627,3874.7762196063995,0.0
0/30,16/20,850,85000,69.51879906654358,350.45110503584146,100.94472971558571,3930.606057405472,0.0
0/30,17/20,900,90000,64.66678476333618,383.21822713315487,109.54151537269354,3964.5118174552917,0.0
0/30,18/20,950,95000,68.23146486282349,375.5658910498023,112.2089851051569,4011.5450336933136,0.0
0/30,19/20,1000,100000,71.79713892936707,409.7807602882385,121.15643801540136,4026.767483472824,0.0
1/30,0/20,1050,105000,65.25968098640442,437.2727529704571,120.91838267445564,3986.420805454254,0.0
1/30,1/20,1100,110000,67.25404691696167,432.6212122142315,122.96778310835361,3966.884545326233,0.0
